ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,1UL82DX9AB,MOLDING A PILLAR,,,,,,,"Right [-KX], [CHD]Right [-RX], [CHD]Right [-X9], [CHD]...View More",available,255,171,/parts/mopar-molding-a-pillar~1ul82dx9ab.html
1,1UL83DX9AA,MOLDING A PILLAR,,,,,,1UL83DX9AB,"Left [-V5], [AXV]",available,334,223,/parts/mopar-molding-a-pillar~1ul83dx9aa.html
1,1UL83DX9AB,MOLDING A PILLAR,,,,,,,"Left [-KX], [CHD]Left [-RX], [CHD]Left [-X9], [CHD]...View More",available,334,223,/parts/mopar-molding-a-pillar~1ul83dx9ab.html
1,1VT20DX9AB,MOLDING A PILLAR,,,,,,,"Right [-X9], [CHE]",available,322,217.13,/parts/mopar-panel-a-pillar~1vt20dx9ab.html
1,1VT20LV5AB,MOLDING A PILLAR,,,,,,,"Right [-VX], [CHE]",available,304,204.75,/parts/mopar-panel-a-pillar~1vt20lv5ab.html
1,1VT21DX9AB,MOLDING A PILLAR,,,,,,,"Left [-X9], [CHE]",available,337,225.23,/parts/mopar-panel-a-pillar~1vt21dx9ab.html
1,1VT21LV5AA,MOLDING A PILLAR,,,,,,1VT21LV5AB,"Left [-VX], [CHE]",available,304,204.75,/parts/mopar-panel-a-pillar~1vt21lv5aa.html
2,1UL81DX9AC,MOLDING B Pillar Upper,Left,,,,,6BT59DX9AA,,available,169,113.93,/parts/mopar-panel-b-pillar~1ul81dx9ac.html
3,68184351AB,BRACKET B-Pillar,,,,,,68184351AD,Left [ST],available,45.4,31.69,/parts/mopar-bracket-b-pillar~68184351ab.html
3,68184351AC,BRACKET B-Pillar,Left,,,,,68184351AD,,available,45.4,31.69,/parts/mopar-bracket-b-pillar~68184351ac.html
4,1UL87DX9AD,SILL COVER Interior,Left,,,,,,,available,65.7,45.84,/parts/mopar-pad-interior~1ul87dx9ad.html
5,5030031AG,BAR Sport,,,,,,,,discontinued,,,/parts/mopar-bar-assy-sport~5030031ag.html
