ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68096338AD,PAN Trunk Primed,,,,,,68284745AA,,available,2875,1943.6,/parts/mopar-pan-trunk-primed~68096338ad.html
2,6102132AA,SCREW Hex Head M6x1x20,,,,4,1,,,available,5.5,3.73,/parts/mopar-screw-hex-head~6102132aa.html
3,6508010AA,WASHER Flat,,,,2,1,,,available,2.4,1.63,/parts/mopar-washer-flat~6508010aa.html
4,6505652AA,SCREW Hex Head M8x1.25x30.00,,,,2,1,,,available,2.8,1.1,/parts/mopar-screw-hex-head~6505652aa.html
6,5029239AA,PANEL Fuel Access Trunk,,,,,,,,available,23.05,19.69,/parts/mopar-panel-fuel-access~5029239aa.html
7,4708057,PLUG Trunk Seal,,,,2,1,,,available,47.85,33.38,/parts/mopar-plug-trunk-seal~4708057.html
8,5058643AA,EXHAUSTER Quarter Panel,,,,,,68260545AA,,available,16.7,11.65,/parts/mopar-exhauster-quarter-panel~5058643aa.html
9,68174036AB,SEAL Floor Pan,,,,,,,,available,15.8,13.46,/parts/mopar-seal-floor-pan~68174036ab.html
10,5030031AG,BAR Sport,,,,,,,,discontinued,,,/parts/mopar-bar-assy-sport~5030031ag.html
11,6034383,SCREW Pan Head .437-20x1.5,,,,4,1,,,available,10.15,7.05,/parts/mopar-screw-pan-head~6034383.html
12,6506890AA,WASHER Flat,,,,2,1,,,available,2.85,2.45,/parts/mopar-washer-flat~6506890aa.html
13,6102122AA,BOLT AND WASHER Hex Head M10X1.50X100,,,,2,1,,,available,7.5,5.18,/parts/mopar-bolt-hex-head~6102122aa.html
