ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68145383AA,BAFFLE Air,,,,,,68145383AB,,available,147,98.61,/parts/mopar-baffle-air~68145383aa.html
2,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,4,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
3,5290136AE,BELLY PAN Extension Front,,,,,,5290136AF,,available,324,218.83,/parts/mopar-belly-pan-extension-front~5290136ae.html
4,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,4,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
5,6505070AA,SCREW Pan Head,,,,4,1,,,discontinued,,,/parts/mopar-screw-pan-head~6505070aa.html
6,5290078AJ,BELLY PAN Rear,,,,,,5290078AM,,available,627,428.64,/parts/mopar-pan-rear~5290078aj.html
7,6505070AA,SCREW Pan Head,,,,,,,,discontinued,,,/parts/mopar-screw-pan-head~6505070aa.html
8,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,4,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
9,68137723AB,PANEL Diffuser Rear Fascia,,,,,,68292407AA,,available,2950,2000.1,/parts/mopar-panel-diffuser~68137723ab.html
10,6508387AA,SCREW Pan Head M6X1.00X22.00,,,,9,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
