ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68140268AA,SWITCH Liftgate,,,,,,,,available,42.15,35.18,/parts/mopar-switch-liftgate~68140268aa.html
2,5029677AA,SWITCH Outside Door Handle,,,,,,,,discontinued,,,/parts/mopar-switch-outside-door-handle~5029677aa.html
3,1YK351X9AA,SWITCH Door Lock,,,,,,,"Left [X9], [RC5], [CBZ], [XSQ]Left [X9], [RCA] OR [RC5], [CBF], [XSQ]Left [X9], [RCA], [CBZ], [XSQ]...View More",discontinued,,,
3,1YK35DX9AA,SWITCH Door Lock,,,,,,,"Left [KX], [CTK], [RC5]Left [KX], [CTK], [RC5], [XSQ]Left [KX], [CTK], [RCA]Left [KX], [CTK], [RCA], [XSQ]Left [RX], [CTK], [RC5]Left [RX], [CTK], [RC5], [XSQ]Left [RX], [CTK], [RCA]Left [RX], [CTK], [RCA], [XSQ]Left [VX], [RCA] OR [RC5], [CBF]Left [VX], [RCA] OR [RC5], [CBF], [XSQ]Left [X9], [CTK], [RC5]Left [X9], [CTK], [RC5], [XSQ]Left [X9], [CTK], [RCA]Left [X9], [CTK], [RCA], [XSQ]Left [X9], [RC5], [CBZ]Left [X9], [RCA] OR [RC5], [CBF]Left [X9], [RCA], [CBZ]...View More",available,47.55,40.25,/parts/mopar-switch-door-lock~1yk35dx9aa.html
4,5035283AA,SWITCH Fuel Door,,,,,,,,available,36.75,23.88,/parts/mopar-switch-fuel-door~5035283aa.html
5,5035279AB,SWITCH AND BEZEL Power Window,,,,,,68620470AA,"Left [CTK], [RCA], [AZA]Left [RCA] OR [RC5], [CBF]Left [RCA] OR [RC5], [CBF], [XSQ]...View More",discontinued,,,/parts/mopar-switch-power-window~5035279ab.html
6,5035278AB,SWITCH AND BEZEL Power Window,,,,,,5035278AC,"Right [CTK], [RCA], [AZA]Right [RCA] OR [RC5], [CBF]Right [RCA] OR [RC5], [CBF], [XSQ]...View More",discontinued,,,/parts/mopar-switch-power-window~5035278ab.html
7,1YK341X9AA,SWITCH Door Lock,,,,,,,"Right [X9], [RC5], [CBZ], [XSQ]Right [X9], [RCA] OR [RC5], [CBF], [XSQ]Right [X9], [RCA], [CBZ], [XSQ]...View More",discontinued,,,
7,1YK34DX9AA,SWITCH Door Lock,,,,,,,"Right [KX], [CTK], [RC5]Right [KX], [CTK], [RC5], [XSQ]Right [KX], [CTK], [RCA]Right [KX], [CTK], [RCA], [XSQ]Right [RX], [CTK], [RC5]Right [RX], [CTK], [RC5], [XSQ]Right [RX], [CTK], [RCA]Right [RX], [CTK], [RCA], [XSQ]Right [VX], [RCA] OR [RC5], [CBF], [XSQ]Right [X9], [CTK], [RC5]Right [X9], [CTK], [RC5], [XSQ]Right [X9], [CTK], [RCA]Right [X9], [CTK], [RCA], [XSQ]Right [X9], [RC5], [CBZ]Right [X9], [RCA] OR [RC5], [CBF]Right [X9], [RCA], [CBZ]...View More",available,46.2,31.75,/parts/mopar-switch-door-lock~1yk34dx9aa.html
7,1YK34HL1AA,SWITCH Door Lock,,,,,,,"Right [VX], [RCA] OR [RC5], [CBF]",available,46.2,31.75,/parts/mopar-switch-door-lock~1yk34hl1aa.html
8,5029677AA,SWITCH Outside Door Handle,,,,,,,,discontinued,,,/parts/mopar-switch-outside-door-handle~5029677aa.html
