ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,68206848AA,WINDSHIELD,,,,,,,,unavailable,1210,1003.44,/parts/mopar-w-shield~68206848aa.html
2,4864015AC,INSTALLATION PACKAGE Windshield Glass Spacers plus urethane,,,,8,1,4864015AD,,available,113,51.01,/parts/mopar-instalpkg-windshieldglass~4864015ac.html
3,68139704AB,GLASS Front Door,,,,,,68139704AC,Right 4.0 After 8/04/2014,available,361,243.65,/parts/mopar-glass-front-door~68139704ab.html
3,68139704AA,GLASS Front Door,,,,,,68139704AC,Right 3.2 Up to 8/04/2014,unavailable,361,243.65,/parts/mopar-glass-front-door~68139704aa.html
3,68139705AB,GLASS Front Door,,,,,,68139705AC,Left 4.0 After 8/04/2014,available,330,222.22,/parts/mopar-glass-front-door~68139705ab.html
4,6102204AA,SCREW AND WASHER Hex Head M6X1.00X20.00,,,,2,1,,,available,8.75,7.57,/parts/mopar-screw-hex-head~6102204aa.html
5,68110780AC,GLASS Liftgate,,,,,,,,available,1465,989.88,/parts/mopar-backlite-liftgate~68110780ac.html
7,68202417AC,FRAME Windshield,,,,,,68202417AD,,available,1025,692.69,/parts/mopar-frame-windshield~68202417ac.html
8,4278662,SPACER,,,,8,1,,,available,4.15,2.85,/parts/mopar-spacer~4278662.html
,68349600AA,RETAINER Glass to Liftplate Roller Guide,,,,2,1,,Front Door White,available,5.6,3.84,/parts/mopar-retainer-glass-to-liftplate~68349600aa.html
