ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,1ZV76LV5AA,KNOB Gearshift,,,,,,,With [VX],available,360,231.92,/parts/mopar-knob-gearshift~1zv76lv5aa.html
2,1WT151V5AC,BEZEL Console Shifter,,,,,,1WT151V5AD,With [JAA] and [V5],available,1550,1021.9,/parts/mopar-bezel-console-shifter~1wt151v5ac.html
2,1WT15DX9AC,BEZEL Console Shifter,,,,,,,With [JAA] and [X9],available,1725,1138.5,/parts/mopar-bezel-console-shifter~1wt15dx9ac.html
2,1WT16AAAAA,BEZEL Console Shifter,,,,,,,With [JAA] and [XSQ],available,1125,760.49,/parts/mopar-bezel-console-shifter~1wt16aaaaa.html
2,1WT17LR9AC,BEZEL Console Shifter,,,,,,,With [JAB] and [X6],available,1360,897.6,/parts/mopar-housing-console-shifter~1wt17lr9ac.html
2,1WT17LV5AC,BEZEL Console Shifter,,,,,,,With [JAB] and [VX],available,1415,933.9,/parts/mopar-housing-console-shifter~1wt17lv5ac.html
2,1WT181V5AA,BEZEL Console Shifter,,,,,,1WT181V5AB,"With [JAB], [AZA] and [V5]",available,915,603.9,/parts/mopar-bezel-console-shifter~1wt181v5aa.html
2,1WT181X9AA,BEZEL Console Shifter,,,,,,1WT18YSAAB,"With [X9] And [JAB] OR [JAC], [XSQ] Without [ASV]With [X9] And [JAB] OR [JAC], [XSQ], [ASV]",available,964,635.8,/parts/mopar-bezel-console-shifter~1wt181x9aa.html
2,1WT182R8AA,BEZEL Console Shifter,,,,,,1WT181R9AA,"With [X6] And [JAB] OR [JAC], [XSQ], [ASV]",available,914,602.8,/parts/mopar-bezel-console-shifter~1wt182r8aa.html
2,1WT182R9AA,BEZEL Console Shifter,,,,,,1WT181R9AA,"With [X6] And [JAB] OR [JAC], [XSQ] Without [ASV]",available,914,602.8,/parts/mopar-bezel-console-shifter~1wt182r9aa.html
2,1WT18LV5AA,BEZEL Console Shifter,,,,,,1WT181V5AB,"With [VX] And [JAB] OR [JAC], [XSQ] Without [ASV]",available,915,603.9,/parts/mopar-bezel-console-shifter~1wt18lv5aa.html
2,1YS01LA8AC,BEZEL Console Shifter,,,,,,1YS01LA8AD,With [JAC] and [X6],available,1330,876.7,/parts/mopar-bezel-console-shifter~1ys01la8ac.html
2,1YS01YSAAC,BEZEL Console Shifter,,,,,,1YS01YSAAD,With [JAC] and [X9],available,1215,800.8,/parts/mopar-bezel-console-shifter~1ys01ysaac.html
3,124934,NUT Hex Jam .50-20,,,,,,,,available,8.75,6.06,/parts/mopar-nut-hex-jam~124934.html
4,4709410,ISOLATOR Shift Lever,,,,,,,,discontinued,,,/parts/mopar-handle-shift-lever~4709410.html
6,5038653AA,BOOT Gearshift,,,,,,,,discontinued,,,/parts/mopar-boot-gearshift~5038653aa.html
7,68027838AA,BOLT,,,,,,,,available,3.3,2.27,/parts/mopar-bolt~68027838aa.html
8,68206971AA,SHIFTER Transmission,,,,,,,,available,314,204.75,/parts/mopar-shifter-transmission~68206971aa.html
