ref_no,part_number,description,side,year_range,fitting_vehicle_options,require_quantity,package_quantity,replaced_by,notes,status,msrp,sale_price,detail_url
1,6504555,PUSH PIN M8X21,,,,10,1,68365015AA,,available,10.75,7.46,/parts/mopar-push-pin~6504555.html
2,68204726AE,PANEL Rear Fascia Valance,,,,,,68204726AF,"[X8T], [XAC]",available,1550,1047.51,/parts/mopar-panel-rear-fascia-valance~68204726ae.html
4,68185703AA,BRACKET Fascia Rear Valance Plate,,,,,,,,available,19.6,12.64,/parts/mopar-bracket-fascia~68185703aa.html
7,6507326AA,PIN Push Foam Attaching,,,,2,1,,,available,6.7,5.76,/parts/mopar-pin-push~6507326aa.html
8,68096362AD,ABSORBER Rear Energy Foam,,,,,,,,available,196,131.63,/parts/mopar-absorber-rear-energy~68096362ad.html
9,4865654AC,ABSORBER Rear Energy,,,,,,,,available,450,369.98,/parts/mopar-absorber-rear-energy~4865654ac.html
10,5029209AA,PLATE Reinforcement,,,,4,1,,,available,4.05,3.14,/parts/mopar-shim-reinforcement~5029209aa.html
11,68160493AA,BRACKET Fascia Absorber Attaching,Left,,,,,,,available,37.85,25.16,/parts/mopar-bracket-fascia~68160493aa.html
15,68141069AA,GRILLE Fascia Rear,Left,,,,,,,available,59.35,50.27,/parts/mopar-grille-fascia~68141069aa.html
17,68141021AB,BEZEL Fascia,Left,,,,,,,discontinued,,,/parts/mopar-reflector-fascia~68141021ab.html
19,6105241AA,NUT U M6x1.00 Fascia Attaching,,,,4,1,,,available,5.05,3.44,/parts/mopar-nut-u~6105241aa.html
20,68195688AD,FASCIA Rear Primed,,,,,,,,available,3345,2267.75,/parts/mopar-fascia-rear~68195688ad.html
21,68163967AC,BRACKET Fascia Fascia Support,Left,,,,,68163967AD,,available,22.75,10.9,/parts/mopar-bracket-fascia~68163967ac.html
23,68292409AA,PANEL Diffuser Rear Fascia,,,,,,,[MEX],available,857,584.82,/parts/mopar-panel-diffuser~68292409aa.html
25,6508387AA,SCREW Pan Head M6X1.00X22.00 Diffuser to Fascia,,,,4,1,6508611AA,,available,4.65,3.2,/parts/mopar-screw-pan-head~6508387aa.html
29,6507483AA,NUT/RIVET,,,,4,1,,,discontinued,,,/parts/mopar-nut-rivet~6507483aa.html
30,68289865AA,BRACKET Rear Diffuser Carbon Fiber Inner,,,,,,68289865AB,Left [MEX],available,1025,690.43,/parts/mopar-bracket-rear-diffuser~68289865aa.html
31,6506489AA,RIVET,,,,6,1,,,available,12.5,8.74,/parts/mopar-rivet~6506489aa.html
32,68289863AA,BRACKET Rear Diffuser Carbon Fiber Outer,,,,,,68289863AB,Left [MEX],available,2270,1536.8,/parts/mopar-bracket-rear-diffuser~68289863aa.html
33,68252752AA,EXTENSION KIT Rear Diffuser,,,,,,68252752AB,,available,1335,896.09,/parts/mopar-strakekit-rear-diffuser~68252752aa.html
34,68302138AA,SEAL Liftgate,,,,,,68302138AB,,available,118,78.58,/parts/mopar-seal-liftgate~68302138aa.html
,6101635,BOLT M10x1.50x35 Absorber Attaching,,,,4,1,,,discontinued,,,/parts/mopar-bolt~6101635.html
,68141070AA,BRACKET Camera See Group 8,,,,,,,,available,16.3,12.64,/parts/mopar-bracket-camera~68141070aa.html
,6510612AA,CLIP U Type M7.90X7.90 Panel Attaching,,,,6,1,,,available,2.3,1.34,/parts/mopar-clip-u-type~6510612aa.html
,6102437AA,NUT AND WASHER Hex Nut-Coned Washer M10 x 1.5 Absorber Attaching,,,,4,1,,,available,4,2.74,/parts/mopar-nut-hex-nut-coned-washer~6102437aa.html
,6023925,NUT Plastic Snap-in Applique To Body,,,,4,1,,,available,6,4.19,/parts/mopar-nut-plastic-snap-in~6023925.html
,6100842,NUT Push Absorber Attaching,,,,4,1,,,available,3.65,2.5,/parts/mopar-nut-push~6100842.html
,6102244AA,NUT Reflector Attaching,,,,4,1,,,available,3.9,2.68,/parts/mopar-nut~6102244aa.html
,6105241AA,NUT U M6x1.00 Diffuser to Fascia,,,,10,1,,,available,5.05,3.44,/parts/mopar-nut-u~6105241aa.html
,6507357AA,NUT Wing M6x1 Panel Attaching,,,,8,1,,,available,13.75,9.55,/parts/mopar-nut-wing~6507357aa.html
,6035201,RIVET Fascia Bracket to Body,,,,6,1,,,available,12.2,8.45,/parts/mopar-rivet~6035201.html
,6510693AA,SCREW AND WASHER Round Head M6X1.00X19.00 Diffuser to Fascia,,,,2,1,,,available,5.5,3.79,/parts/mopar-screw-round-head~6510693aa.html
,6510170AA,SCREW M4X1.46X10 Grille Attaching,,,,15,1,,,available,3.75,2.56,/parts/mopar-screw~6510170aa.html
,6505070AA,SCREW Pan Head Diffuser to Belly Pan,,,,20,1,,,discontinued,,,/parts/mopar-screw-pan-head~6505070aa.html
