ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5018316AB,HOUSING A/C And Heater,,2001-2002,Base,6 Cyl 3.5L,,,5018316AC,,,discontinued,,,42.2 x 15.9 x 18.5 inches,13.70 Pounds,/parts/mopar-housing-a-c-and-heater~5018316ab.html
2,4644388,CLIP A/C Heater Housing,,2001-2002,Base,6 Cyl 3.5L,4,1,,,,discontinued,,,0.5 x 0.3 x 0.3 inches,0.50 Pounds,/parts/mopar-clip-a-c-heater-housing~4644388.html
3,4734227,SCREW Hex Head M4.8-1.59x19,,2001-2002,Base,6 Cyl 3.5L,30,1,,68579051AA,,available,4.3,2.91,2.4 x 1.1 x 1.0 inches,0.40 Pounds,/parts/mopar-screw-hex-head~4734227.html
4,4644225,STUD A/C Heater Housing,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,1.7 x 0.7 x 0.8 inches,0.40 Pounds,/parts/mopar-stud-a-c-heater-housing~4644225.html
4,4734392,STUD A/C Heater Housing,,2001,Base,6 Cyl 3.5L,3,1,,,,available,3.7,2.56,1.9 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-stud-a-c-heater-housing~4734392.html
5,6031087,WASHER A/C Unit Mounting Stud,,2001-2002,Base,6 Cyl 3.5L,3,1,5061426AA,,,available,3,2.1,1.0 x 1.0 x 0.2 inches,0.40 Pounds,/parts/mopar-washer-a-c-unit-mounting-stud~6031087.html
7,5018317AA,HOUSING Air Inlet,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,14.5 x 11.2 x 7.6 inches,3.50 Pounds,/parts/mopar-housing-air-inlet~5018317aa.html
8,4885326AA,MOTOR Blower with Wheel,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,343,228.58,11.9 x 11.8 x 10.3 inches,5.90 Pounds,/parts/mopar-motor-blower-with-wheel~4885326aa.html
9,4644536,PROBE Air Conditioning,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-probe-air-conditioning~4644536.html
10,V9900006,EVAPORATOR Air Conditioning,,2001-2002,Base,6 Cyl 3.5L,,,,,Mopar V-Line Alternative Part,discontinued,,,0.5 x 3.0 x 49.9 inches,0.70 Pounds,/parts/mopar-insulator-evaporator~v9900006.html
10,5011513AC,EVAPORATOR Air Conditioning,,2001-2002,,6 Cyl 3.5L,,,,,,discontinued,,,,,
10,V9900013,EVAPORATOR Air Conditioning,,2001-2002,Base,6 Cyl 3.5L,,,,,Mopar V-Line Alternative Part,discontinued,,,16.0 x 12.1 x 6.1 inches,5.50 Pounds,/parts/mopar-evaporatr-air-conditioning~v9900013.html
11,4815502AB,ACTUATOR Mode Control,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,6.7 x 4.1 x 3.9 inches,1.40 Pounds,/parts/mopar-actuator-mode-control~4815502ab.html
12,4815592AB,WIRING A/C,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,10.9 x 1.6 x 1.5 inches,0.70 Pounds,/parts/mopar-wiring-a-c~4815592ab.html
13,4644500,DUCT Floor Distribution,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,18.6,12.99,12.3 x 6.2 x 6.1 inches,0.60 Pounds,/parts/mopar-duct-floor-distribution~4644500.html
14,4815500,SPACER AND STUD Unit Mtg.,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.3 x 0.8 x 0.8 inches,0.80 Pounds,/parts/mopar-stud-unit-mtg~4815500.html
15,4734453,CORE Heater,,2001-2002,Base,6 Cyl 3.5L,,,5174809AA,,,discontinued,,,13.8 x 10.9 x 7.7 inches,3.10 Pounds,/parts/mopar-core-heater~4734453.html
16,4644499,CLIP Air Conditioning Cable,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,5.9 x 5.9 x 0.9 inches,0.50 Pounds,/parts/mopar-clip-air-conditioning-cable~4644499.html
17,5015289AB,SEAL KIT A/C And Heater Unit,,2001-2002,Base,6 Cyl 3.5L,,,5015289AC,,,discontinued,,,12.5 x 11.2 x 5.3 inches,1.20 Pounds,/parts/mopar-seal-kit-a-c-and-heater-unit~5015289ab.html
,4865344AC,LABEL Emission,,2001,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-label-emission~4865344ac.html
,4644525,LEVER Blend Air Door,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.0 x 2.1 x 1.0 inches,0.60 Pounds,/parts/mopar-lever-blend-air-door~4644525.html
,4462840,RESISTOR Blower Motor,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,19,13.97,3.8 x 3.6 x 2.6 inches,0.60 Pounds,/parts/mopar-resistor-blower-motor~4462840.html
,6035033,SCREW Shoulder Hex Flange Head .19-16x.75,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-screw-shoulder-hex-flange-head~6035033.html
,5264688,TUBE Drain,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,49.65,32.82,4.3 x 2.3 x 1.4 inches,0.40 Pounds,/parts/mopar-tube-drain~5264688.html
