ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4815496AB,CONTROL A/C And Heater,,,,,,,,,,discontinued,,,,,
2,4897713AA,KNOB A/C And Heater Control - Rotary,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,7.58,5.96,1.9 x 1.9 x 1.2 inches,0.40 Pounds,/parts/mopar-knob-a-c-and-heater-control-ro~4897713aa.html
3,4897715AA,KNOB A/C And Heater Control - Rotary,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,2.1 x 2.0 x 1.7 inches,0.40 Pounds,/parts/mopar-knob-a-c-and-heater-control-ro~4897715aa.html
4,4897722AA,BEZEL Heater and A/C Control,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,10.2 x 3.9 x 3.8 inches,2.30 Pounds,/parts/mopar-bezel-heater-and-a-c-control~4897722aa.html
5,4897726AA,LIGHT PIPE A/C and Heater Control,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,unavailable,,,1.4 x 0.6 x 0.4 inches,0.40 Pounds,/parts/mopar-light-a-c-and-heater-control~4897726aa.html
7,5003937AA,BULB Heater and A/C Control,,,,,2,,,,,discontinued,,,,,
,4815498,CABLE Recirculation  Door,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,14.6 x 14.3 x 1.5 inches,0.80 Pounds,/parts/mopar-cable-recirculation-door~4815498.html
,4885595AA,CABLE Temperature Control,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,3.13,2.46,,0.70 Pounds,/parts/mopar-cable-temperature-control~4885595aa.html
,6032723,SCREW Self Tapping M4.2x1.69x19.05,,2001-2002,Base,6 Cyl 3.5L,2,1,,6034949,,available,9.15,6.35,1.1 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-self-tapping~6032723.html
,5012034AA,SOCKET A/C and Heater Control Bulb,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,1.2,0.94,0.8 x 1.1 x 1.1 inches,0.40 Pounds,/parts/mopar-socket-a-c-and-heater-control-bulb~5012034aa.html
