ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4567575,SPRING Accumulator,,2001-2002,Base,6 Cyl 3.5L,,,4800310AB,,,available,39.55,27.61,2.0 x 0.8 x 0.8 inches,0.60 Pounds,/parts/mopar-spring-accumulator~4567575.html
2,4471880,SPRING Accumulator,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,52.15,36.29,2.0 x 1.1 x 1.1 inches,1.40 Pounds,/parts/mopar-spring-accumulator~4471880.html
3,4446544,SEAL Accumulator,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,9.15,6.29,0.3 x 1.7 x 1.7 inches,0.40 Pounds,/parts/mopar-seal-accumulator~4446544.html
4,4446620,PISTON Accumulator,,2001-2002,Base,6 Cyl 3.5L,,,4446620AD,,,available,41.55,28.83,4.1 x 3.1 x 1.8 inches,0.50 Pounds,/parts/mopar-piston-accumulator~4446620.html
5,4431617,COVER Accumulator,,2001,Base,6 Cyl 3.5L,,,4431617AB,,,available,7.35,4.95,2.0 x 2.1 x 0.6 inches,0.50 Pounds,/parts/mopar-cover-accumulator~4431617.html
6,6501549,O RING Accumulator Transmission,,2001,Base,6 Cyl 3.5L,,,,,,available,7.25,5.07,1.5 x 1.5 x 0.1 inches,0.60 Pounds,/parts/mopar-o-ring-accumulator~6501549.html
7,6501695,SNAP RING,,2001,Base,6 Cyl 3.5L,,,,,,available,8.95,6.17,2.0 x 2.1 x 0.3 inches,0.50 Pounds,/parts/mopar-ring~6501695.html
8,4446544,SEAL Accumulator,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,9.15,6.29,0.3 x 1.7 x 1.7 inches,0.40 Pounds,/parts/mopar-seal-accumulator~4446544.html
9,4446620,PISTON Accumulator,,2001-2002,Base,6 Cyl 3.5L,,,4446620AD,,,available,41.55,28.83,4.1 x 3.1 x 1.8 inches,0.50 Pounds,/parts/mopar-piston-accumulator~4446620.html
10,4471880,SPRING Accumulator,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,52.15,36.29,2.0 x 1.1 x 1.1 inches,1.40 Pounds,/parts/mopar-spring-accumulator~4471880.html
