ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
2,4883013AB,PLATE PACKAGE Underdrive Reaction 5.72/5.82,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,45.4,31.57,16.0 x 10.4 x 0.7 inches,1.10 Pounds,/parts/mopar-plate-underdrive-reaction~4883013ab.html
5,4659934,SNAP RING Underdrive Clutch Tapered,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,16.2,11.18,11.3 x 10.3 x 0.4 inches,0.60 Pounds,/parts/mopar-ring-underdrive-clutch~4659934.html
7,4567262,THRUST BEARING,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,17,11.77,2.1 x 2.1 x 0.5 inches,0.50 Pounds,/parts/mopar-bearing~4567262.html
8,4864936,HUB AND SHAFT PACKAGE Underdrive Clutch,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,5.2 x 5.1 x 7.0 inches,2.40 Pounds,/parts/mopar-shaft-pkg-underdrive-clutch~4864936.html
9,4659883,THRUST WASHER U/Drive Clutch,,2001,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.8 x 2.7 x 0.4 inches,0.70 Pounds,/parts/mopar-washer-u-drive-clutch~4659883.html
10,4505621,SNAP RING,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,8.1,5.53,11.3 x 10.2 x 0.4 inches,0.40 Pounds,/parts/mopar-ring~4505621.html
11,4531678,DISC Clutch,,2001-2002,Base,6 Cyl 3.5L,4,1,4531678AB,,,available,14.45,9.9,9.6 x 10.1 x 0.3 inches,0.50 Pounds,/parts/mopar-disc-clutch~4531678.html
12,4659053,PLATE Transmission O/Drive Clutch,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,11.35,7.81,10.1 x 10.3 x 0.4 inches,0.60 Pounds,/parts/mopar-plate-transmission-o-drive-clutch~4659053.html
13,4531910AC,PISTON Reverse and Overdrive,,2001,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-piston-reverse-and-overdrive~4531910ac.html
14,4505622,SNAP RING,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,7.8,5.3,7.9 x 7.0 x 0.1 inches,0.40 Pounds,/parts/mopar-ring~4505622.html
15,4531678,DISC Clutch,,2001-2002,Base,6 Cyl 3.5L,4,1,4531678AB,,,available,14.45,9.9,9.6 x 10.1 x 0.3 inches,0.50 Pounds,/parts/mopar-disc-clutch~4531678.html
16,4659053,PLATE Transmission O/Drive Clutch,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,11.35,7.81,10.1 x 10.3 x 0.4 inches,0.60 Pounds,/parts/mopar-plate-transmission-o-drive-clutch~4659053.html
17,4377194,PLATE Transmission Clutch Reaction,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,36.25,25.11,0.6 x 10.4 x 10.3 inches,1.00 Pounds,/parts/mopar-plate-transmission-clutch-reactio~4377194.html
