ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4539661,DIFFERENTIAL Transaxle,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-carrier-transaxle~4539661.html
2,4593012,CIRCLIP Half Shaft,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,5.25,4.13,2.0 x 2.0 x 0.9 inches,0.40 Pounds,/parts/mopar-retainer-half-shaft~4593012.html
3,4539748,OUTPUT SHAFT Transaxle,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,5.2 x 1.1 x 1.0 inches,1.80 Pounds,/parts/mopar-shaft-transaxle~4539748.html
4,2852883,LOCK Drive Shaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,18.75,14.51,1.5 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-actuator-drive-shaft~2852883.html
5,6502034,SCREW Special Shouldered M10x1x29,,2001-2002,Base,6 Cyl 3.5L,12,1,,,,available,6.75,4.66,1.6 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-bolt-special-shouldered~6502034.html
6,4567505,CASE Transfer Front,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,60.81,47.79,8.6 x 7.3 x 7.4 inches,12.20 Pounds,/parts/mopar-case-transfer-front~4567505.html
7,4567225,BUSHING Support Case,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,18.75,14.51,1.5 x 1.4 x 0.9 inches,0.50 Pounds,/parts/mopar-bushing-support-case~4567225.html
8,4131293,THRUST WASHER PACKAGE Axle Differentail,,2001-2002,Base,6 Cyl 3.5L,,,,"3723866, 3723867, 3723865",,available,87,58.5,3.1 x 3.0 x 0.8 inches,0.80 Pounds,/parts/mopar-washr-pkg-differential~4131293.html
9,5016367AA,GEAR PACKAGE Differential,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-gear-pkg-differential~5016367aa.html
10,154567,PIN Shift Fork,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,1.8 x 0.2 x 0.2 inches,0.40 Pounds,/parts/mopar-pin-shift-fork~154567.html
11,2852912,WASHER Pinion Thrust,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,,14.51,1.9 x 1.9 x 0.3 inches,0.50 Pounds,/parts/mopar-washer-pinion-gear-thrust~2852912.html
12,4567617,GEAR Differential Ring,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,176.69,138.85,11.6 x 10.5 x 9.1 inches,16.20 Pounds,/parts/mopar-gear-set-differential-ring~4567617.html
13,6502363,O RING CV Joint,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,1.2 x 1.2 x 0.1 inches,0.40 Pounds,/parts/mopar-o-ring-cv-joint~6502363.html
14,6502482,SNAP RING,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-ring~6502482.html
15,4539879,BEARING Differential,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,4.6 x 3.4 x 1.1 inches,1.00 Pounds,/parts/mopar-bearing-differential~4539879.html
16,4567216,OUTPUT SHAFT Transaxle,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shaft-transaxle~4567216.html
18,1790541,BEARING Differential,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,145,91.94,1.2 x 4.3 x 4.3 inches,1.00 Pounds,/parts/mopar-bearing-differential~1790541.html
,6502482,SNAP RING,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-ring~6502482.html
