ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4567151,SHIM Transfer Shaft 3.53 - 3.55mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,2.47,1.94,1.5 x 1.4 x 0.1 inches,0.60 Pounds,/parts/mopar-shim-transfer-shaft~4567151.html
37,4539863,BEARING CUP Transfer Gear,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,19.64,15.43,4.2 x 4.1 x 1.1 inches,1.40 Pounds,/parts/mopar-brg-pkg-transfer-gear~4539863.html
38,4539862,BEARING CONE Transfer Gear,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,127.34,100.07,2.8 x 2.6 x 1.3 inches,0.80 Pounds,/parts/mopar-brg-pkg-transfer-gear~4539862.html
39,6502447,NUT Transfer Shaft M33 x 1.50,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,19.25,15.13,2.2 x 2.2 x 0.8 inches,0.70 Pounds,/parts/mopar-nut-transfer-shaft~6502447.html
40,4659834,SPROCKET Transfer Shaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,30.51,23.97,5.3 x 4.9 x 3.2 inches,6.90 Pounds,/parts/mopar-sprocket-transfer-shaft~4659834.html
41,4539901,WASHER Sprocket,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,2.0 x 2.1 x 0.1 inches,0.50 Pounds,/parts/mopar-washer-sprocket~4539901.html
42,6502448,SNAP RING,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,5.2 x 5.2 x 5.1 inches,1.10 Pounds,/parts/mopar-ring~6502448.html
43,4659190,CHAIN Transmission Drive,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,150,47,13.5 x 4.1 x 2.0 inches,2.60 Pounds,/parts/mopar-chain-transmission-drive~4659190.html
44,4728303,SEAL PACKAGE Transfer Shaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,5.7 x 5.6 x 0.6 inches,0.60 Pounds,/parts/mopar-seal-pkg-transfer-shaft~4728303.html
45,4567293,BEARING CUP Transfer Shaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,12.5,9.83,3.7 x 3.6 x 1.6 inches,1.00 Pounds,/parts/mopar-brg-pkg-transfer-shaft~4567293.html
46,4567292,BEARING CONE Transfer Shaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,21.14,16.61,3.7 x 3.7 x 1.6 inches,1.30 Pounds,/parts/mopar-brg-pkg-transfer-shaft~4567292.html
47,4539677,SHIM Transfer Shaft 0.681 - 0.707mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shim-transfer-shaft~4539677.html
64,4567617,GEAR Differential Ring,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,176.69,138.85,11.6 x 10.5 x 9.1 inches,16.20 Pounds,/parts/mopar-gear-set-differential-ring~4567617.html
,4539678,SHIM Transfer Shaft 0.708 - 0.734mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shim-transfer-shaft~4539678.html
,4539679,SHIM Transfer Shaft 0.735 - 0.761mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shim-transfer-shaft~4539679.html
,4539680,SHIM Transfer Shaft 0.762 - 0.788mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shim-transfer-shaft~4539680.html
,4539681,SHIM Transfer Shaft 0.789 - 0.815mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-shim-transfer-shaft~4539681.html
,4539682,SHIM Transfer Shaft 0.816 - 0.842mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-shim-transfer-shaft~4539682.html
,4539683,SHIM Transfer Shaft 0.843 - 0.869mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.70 Pounds,/parts/mopar-shim-transfer-shaft~4539683.html
,4539684,SHIM Transfer Shaft 0.870 - 0.896mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-shim-transfer-shaft~4539684.html
,4539685,SHIM Transfer Shaft 0.897 - 0.923mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-shim-transfer-shaft~4539685.html
,4539686,SHIM Transfer Shaft 0.924 - 0.950mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-shim-transfer-shaft~4539686.html
