ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4865110AA,BEZEL KIT Decklid,,2001-2002,Base,6 Cyl 3.5L,,,,,Right Folding Top Latch,available,26.12,20.53,2.8 x 2.9 x 1.8 inches,0.60 Pounds,/parts/mopar-bezel-decklid~4865110aa.html
1,4865111AA,BEZEL KIT Decklid,,2001-2002,Base,6 Cyl 3.5L,,,,,Left Folding Top Latch,available,24.07,18.92,2.1 x 2.1 x 2.0 inches,0.70 Pounds,/parts/mopar-bezel-decklid~4865111aa.html
2,6100044,NUT AND WASHER Hex M5x0.80,,2001,Base,6 Cyl 3.5L,4,1,,,,discontinued,,,0.4 x 0.4 x 0.3 inches,0.50 Pounds,/parts/mopar-nut-hex~6100044.html
3,4897904AB,LATCH  KIT Number Four Bow w/Dowel Pins That Attach Convertable Top To Deck Lid,Right,2001-2002,Base,6 Cyl 3.5L,,,,4897904AA,,discontinued,,,3.6 x 3.6 x 1.6 inches,0.70 Pounds,/parts/mopar-latch-number-four-bow~4897904ab.html
3,4897905AB,LATCH  KIT Number Four Bow w/Dowel Pins That Attach Convertable Top To Deck Lid,Left,2001-2002,Base,6 Cyl 3.5L,,,,,,available,,32.68,3.6 x 3.7 x 1.6 inches,0.70 Pounds,/parts/mopar-latch-number-four-bow~4897905ab.html
4,6100988,SCREW AND WASHER Hex Head M6x1x10,,,,,4,,,,,discontinued,,,,,
5,6100264,BOLT AND CONED WASHER Hex Head M6x14x12.5,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,4.7,3.2,0.7 x 0.4 x 0.4 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6100264.html
6,4815749,BRACKET Deck Lid Latch,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,9.14,7.18,5.6 x 4.5 x 1.8 inches,0.80 Pounds,/parts/mopar-bracket-deck-lid-latch~4815749.html
7,4786806AB,HANDLE AND CABLE Folding Top,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,20.0 x 5.5 x 1.9 inches,0.40 Pounds,/parts/mopar-handle-folding-top~4786806ab.html
8,4865101AA,LATCH Decklid,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,1.00 Pounds,/parts/mopar-latch-decklid~4865101aa.html
9,4786108,HINGE Deck Lid,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,10.2 x 6.1 x 6.1 inches,17.30 Pounds,/parts/mopar-hinge-deck-lid~4786108.html
10,4815724,GAS PROP DECKLID,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,discontinued,,,17.2 x 4.7 x 1.0 inches,0.80 Pounds,/parts/mopar-prop-gas-decklid~4815724.html
11,4786209AB,WEATHERSTRIP Decklid,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,22.9 x 22.7 x 1.6 inches,1.90 Pounds,/parts/mopar-w-strip-decklid~4786209ab.html
