ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,6502592,SCREW M8x1.25 Tapped Head M10x1.5x50,,2001-2002,Base,6 Cyl 3.5L,,,6504286,,,available,16.1,11.18,3.0 x 1.1 x 1.1 inches,0.50 Pounds,/parts/mopar-screw-m8x1-25-tapped-head~6502592.html
2,6506019AA,BOLT AND WASHER Hex Head M10x1.5x30,,2001-2002,Base,6 Cyl 3.5L,3,1,,5143443AA,,available,4.65,3.2,1.6 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6506019aa.html
3,6101448,NUT AND WASHER Hex Nut-Coned Washer M10 x 1.5,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,11.3,7.86,1.2 x 1.2 x 0.8 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-coned-washer~6101448.html
4,4483016,DEFLECTOR Idler Roller Bearing,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.0 x 2.0 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-idler-roller-bearing~4483016.html
5,4663534,PULLEY Idler,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,5.2 x 4.9 x 3.3 inches,1.40 Pounds,/parts/mopar-pulley-idler~4663534.html
5,4663563,PULLEY Idler,,2001-2002,Base,6 Cyl 3.5L,,,,,w/Bracket,discontinued,,,8.2 x 5.2 x 3.6 inches,2.20 Pounds,/parts/mopar-pulley-idler~4663563.html
6,4792287,SPACER Idler Pulley,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,5.67,4.45,1.3 x 1.3 x 0.5 inches,0.40 Pounds,/parts/mopar-spacer-idler-pulley~4792287.html
7,6502929,SCREW AND WASHER Hex Head M8x1.25x110,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,12.7,8.68,5.2 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-hex-head-locking~6502929.html
8,4663571,BRACKET Idler Pulley,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,,/parts/mopar-bracket-idler-pulley~4663571.html
9,6101513,SCREW AND WASHER Hex Head M8x1.25x40,,2001-2002,Base,6 Cyl 3.5L,,,,6100307,,available,7.45,5.13,18.9 x 1.1 x 1.1 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6101513.html
10,6101448,NUT AND WASHER Hex Nut-Coned Washer M10 x 1.5,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,11.3,7.86,1.2 x 1.2 x 0.8 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-coned-washer~6101448.html
11,6502929,SCREW AND WASHER Hex Head M8x1.25x110,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,12.7,8.68,5.2 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-hex-head-locking~6502929.html
12,6502592,SCREW M8x1.25 Tapped Head M10x1.5x50,,2001-2002,Base,6 Cyl 3.5L,,,6504286,,,available,16.1,11.18,3.0 x 1.1 x 1.1 inches,0.50 Pounds,/parts/mopar-screw-m8x1-25-tapped-head~6502592.html
13,4573516,BRACKET Idler,,2001-2002,Base,6 Cyl 3.5L,,,,,,unavailable,,,,,/parts/mopar-bracket-idler~4573516.html
14,6034408,SPACER Idler Pulley,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,9.92,7.79,3.8 x 3.7 x 0.4 inches,0.90 Pounds,/parts/mopar-spacer-idler-pulley~6034408.html
15,4792112AD,PULLEY Idler,,2001-2002,Base,6 Cyl 3.5L,,,4792112AE,,,available,57.15,39.9,3.7 x 3.5 x 2.5 inches,1.30 Pounds,/parts/mopar-pulley-idler~4792112ad.html
16,33002201,BUSHING Idler Pulley,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,0.6 x 1.9 x 1.9 inches,0.50 Pounds,/parts/mopar-bushing-idler-pulley~33002201.html
17,4792118,PULLEY Power Steering Pump,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,8.0 x 8.3 x 4.0 inches,1.50 Pounds,/parts/mopar-pulley-power-steering-pump~4792118.html
18,4663176,DAMPER Crankshaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,8.3 x 8.0 x 4.0 inches,6.20 Pounds,/parts/mopar-damper-crankshaft~4663176.html
