ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5010335AB,PISTON PIN AND ROD,,2001-2002,Base,6 Cyl 3.5L,,,R5010335AB,,,available,195,131.98,12.6 x 5.7 x 4.6 inches,2.10 Pounds,/parts/mopar-piston~5010335ab.html
1,R5010335AB,PISTON PIN AND ROD,,2001-2002,Base,6 Cyl 3.5L,,,,5010335AB,,discontinued,,,12.9 x 5.8 x 4.5 inches,3.10 Pounds,/parts/mopar-piston~r5010335ab.html
2,4897035AA,PISTON RING SET COMPLETE ENGINE STD.,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,10.6 x 5.8 x 2.3 inches,0.90 Pounds,/parts/mopar-ring-pkg-complete-engine~4897035aa.html
3,4626657AB,BEARING PACKAGE Connecting Rod Standard,,2001-2002,Base,6 Cyl 3.5L,,,4626657AD,,,available,24.35,16.89,1.9 x 2.7 x 3.9 inches,0.50 Pounds,/parts/mopar-brg-pkg-connecting-rod~4626657ab.html
6,6035095,BOLT Connecting Rod,,2001-2002,Base,6 Cyl 3.5L,12,1,,,,discontinued,,,,,/parts/mopar-bolt-connecting-rod~6035095.html
7,4792177,CRANKSHAFT,,2001-2002,Base,6 Cyl 3.5L,,,4792692AB,,,available,899,616.56,21.9 x 8.2 x 7.7 inches,48.90 Pounds,/parts/mopar-crankshft~4792177.html
10,6503435,WASHER Plain M13x31.00x5.71,,2001-2002,Base,6 Cyl 3.5L,2,1,,,,available,8.15,5.59,1.2 x 1.3 x 0.2 inches,0.50 Pounds,/parts/mopar-washer-flat~6503435.html
11,4663176,DAMPER Crankshaft,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,8.3 x 8.0 x 4.0 inches,6.20 Pounds,/parts/mopar-damper-crankshaft~4663176.html
12,6036159AA,NUT Hex .375-24,,2001-2002,Base,6 Cyl 3.5L,12,1,6036159AB,,,discontinued,,,0.9 x 1.0 x 0.7 inches,0.60 Pounds,/parts/mopar-nut-hex~6036159aa.html
14,5003962AA,BEARING PACKAGE Crankshaft Standard,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,1.9 x 1.3 x 3.0 inches,0.50 Pounds,/parts/mopar-brg-pkg-crankshaft~5003962aa.html
21,4792020AB,BEARING Crankshaft,,2001-2002,Base,6 Cyl 3.5L,2,1,,4792020,,available,14.45,10.09,3.7 x 1.8 x 0.1 inches,0.40 Pounds,/parts/mopar-bearing-crankshaft-thrust~4792020ab.html
22,6101984,BOLT,,2001-2002,Base,6 Cyl 3.5L,,,,,,unavailable,11.45,7.86,1.4 x 1.5 x 3.3 inches,0.60 Pounds,/parts/mopar-bolt-hex-head~6101984.html
23,6505357AA,BOLT,,2001-2002,Base,6 Cyl 3.5L,8,1,,,,discontinued,,,2.6 x 1.0 x 1.0 inches,0.90 Pounds,/parts/mopar-bolt-hex-head~6505357aa.html
24,6504101,BOLT Hex Flange Head,,2001-2002,Base,6 Cyl 3.5L,8,1,,,M10x1.50x100,discontinued,,,4.5 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-hex-flange-head~6504101.html
24,6504102,BOLT Hex Flange Head,,2001-2002,Base,6 Cyl 3.5L,8,1,,,M8x1.25x105,discontinued,,,4.5 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-bolt-hex-flange-head~6504102.html
,4626658AB,BEARING PACKAGE Connecting Rod .025mm Undersize,,2001-2002,Base,6 Cyl 3.5L,,,4626658AD,,,discontinued,,,,0.50 Pounds,/parts/mopar-brg-pkg-connecting-rod~4626658ab.html
,4626659AB,BEARING PACKAGE Connecting Rod .25mm Undersize,,2001-2002,Base,6 Cyl 3.5L,,,4626659AD,,,available,45.05,40.37,,0.50 Pounds,/parts/mopar-brg-pkg-connecting-rod~4626659ab.html
,5010135AA,BEARING PACKAGE Crankshaft +.003mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.0 x 1.2 x 3.1 inches,0.60 Pounds,/parts/mopar-brg-pkg-crankshaft~5010135aa.html
,5010134AA,BEARING PACKAGE Crankshaft +.006mm,,2001-2002,Base,6 Cyl 3.5L,,,5010134AD,,,discontinued,,,2.9 x 2.7 x 2.9 inches,0.60 Pounds,/parts/mopar-brg-pkg-crankshaft~5010134aa.html
,5010136AA,BEARING PACKAGE Crankshaft -.003mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,3.0 x 2.6 x 3.0 inches,0.60 Pounds,/parts/mopar-brg-pkg-crankshaft~5010136aa.html
,5010137AA,BEARING PACKAGE Crankshaft -.006mm,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-brg-pkg-crankshaft~5010137aa.html
,5003964AA,BEARING PACKAGE Crankshaft .025mm Undersize,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,1.8 x 1.2 x 2.9 inches,0.60 Pounds,/parts/mopar-brg-pkg-crankshaft~5003964aa.html
,5003965AA,BEARING PACKAGE Crankshaft .25 mm Undersize,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,2.1 x 1.3 x 3.0 inches,0.60 Pounds,/parts/mopar-brg-pkg-crankshaft~5003965aa.html
,R8264666AA,CRANKSHAFT KIT Engine With Bearings,,2001-2002,Base,6 Cyl 3.5L,,,,,,discontinued,,,25.6 x 12.9 x 10.0 inches,51.10 Pounds,/parts/mopar-crankshft-engine~r8264666aa.html
,4448557,DOWEL Crankshaft Sprocket,,2001-2002,Base,6 Cyl 3.5L,,,,,,available,8.75,6,0.4 x 0.4 x 0.5 inches,0.40 Pounds,/parts/mopar-dowel-pin~4448557.html
,4556503,SNAP RING Piston Pin,,2001-2002,Base,6 Cyl 3.5L,12,1,,,,available,18.75,14.51,1.1 x 1.1 x 0.1 inches,0.90 Pounds,/parts/mopar-retainer-piston-pin~4556503.html
