ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4642653,"HUB and BEARING ASSEMBLY, Front",,1992-1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,1992-95 Bearing Only,discontinued,,,,13.50 Pounds,/parts/mopar-bearing-frt-wheel-susp~4642653.html
1,4763182,"HUB and BEARING ASSEMBLY, Front",,1996,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,443,362.09,7.0 x 6.9 x 6.0 inches,11.00 Pounds,/parts/mopar-hub-suspension-trailing~4763182.html
1,4848716,"HUB and BEARING ASSEMBLY, Front",,1992-1995,"ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,1020,666.6,7.0 x 6.8 x 6.1 inches,11.80 Pounds,/parts/mopar-hub-brake~4848716.html
2,4642122,"ROTOR, Front Brake Vented",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,4642122AC,,,discontinued,,,,,/parts/mopar-rotor-brake~4642122.html
3,4643182,"WASHER, Flat",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,0.80 Pounds,/parts/mopar-washer-flat~4643182.html
4,0271936,"BOLT, Hex Head",,,,,2,,,,,discontinued,,,,,
6,3780788,BLEEDER SCREW and CAP PACKAGE,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,5015248AB,,"BLEEDER SCREW, w/6 Sp. Manual Trans. (Borg Warner)",available,30.3,20.97,1.2 x 0.5 x 0.4 inches,0.50 Pounds,/parts/mopar-screw-bleeder~3780788.html
6,4720990,BLEEDER SCREW and CAP PACKAGE,,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.3 x 2.2 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-brake~4720990.html
7,4723572,"CALIPER ASSEMBLY, Front w/o Pads , Right",Right,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,10.3 x 6.3 x 6.6 inches,7.70 Pounds,/parts/mopar-caliper-disc-brake~4723572.html
7,4723573,"CALIPER ASSEMBLY, Front w/o Pads , Right",Left,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"CALIPER ASSEMBLY, Front w/o Pads , Left",discontinued,,,10.5 x 6.4 x 6.4 inches,11.90 Pounds,/parts/mopar-caliper-disc-brake~4723573.html
8,6100344,"BOLT, Caliper to Knuckle",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,6505833AA,,,available,6.45,4.37,1.8 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6100344.html
9,6033702,"BOLT, Wheel Stud",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",12,1,,,,discontinued,,,2.3 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-stud-hub~6033702.html
10,6034434,"SCREW and WASHER ASSEMBLY, Hub and Bearing Assembly to Knuckle",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,8,1,,,,available,8.34,6.55,,0.60 Pounds,/parts/mopar-hex-head-screw-wa-asm~6034434.html
11,4643183,"NUT, Wheel Bearing Clamp",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,1.00 Pounds,/parts/mopar-nut-wheel-bearing-clamp~4643183.html
,4848166,"GASKET, Bearing To Knuckle 1996",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,12.0 x 8.1 x 0.5 inches,0.50 Pounds,/parts/mopar-gasket-front-wheel-bearing~4848166.html
,4723459,GUIDE PLATE PACKAGE,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,8.37,6.58,3.3 x 2.3 x 0.7 inches,0.50 Pounds,/parts/mopar-plate-brake-torque~4723459.html
,4720986,"PAD, PIN and CLIP PACKAGE",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,215.03,168.98,9.6 x 5.4 x 3.5 inches,5.60 Pounds,/parts/mopar-pad-pkg-disc-brake~4720986.html
,4723455,"PISTON, BOOT & SEAL PACKAGE",,"2000-2002, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,38mm,discontinued,,,5.1 x 4.1 x 2.2 inches,0.60 Pounds,/parts/mopar-piston-disc-brake~4723455.html
,4723456,"PISTON, BOOT & SEAL PACKAGE",,"2000-2002, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,42mm,discontinued,,,4.5 x 3.2 x 2.1 inches,0.60 Pounds,/parts/mopar-piston-disc-brake~4723456.html
,4643718,"SHIELD, Hub and Bearing Assembly Dust",,,,,2,,,,,discontinued,,,,,
