ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5245335,"ROCKER, Valve",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,3.2 x 1.5 x 1.3 inches,0.70 Pounds,/parts/mopar-arm-valve~5245335.html
2,5245336,"PIVOT, Rocker Arm",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,1.2 x 1.0 x 0.8 inches,0.50 Pounds,/parts/mopar-arm-rocker-arm~5245336.html
3,5245337,"RETAINER, Rocker Arm/Push Rod",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,10,1,,,,discontinued,,,,,/parts/mopar-retainer-pedestal~5245337.html
4,6034499,"BOLT, Rocker Arm Pivot, (.375-16x1.5)",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,1.9 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-screw-hex-flange-head~6034499.html
5,33003521,"LOCK, Valve Spring Retainer",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",40,1,,P4529218,,available,3.45,2.33,1.0 x 1.0 x 0.5 inches,0.50 Pounds,/parts/mopar-retainer-valve-spring-retainer~33003521.html
6,5245374,"RETAINER, Valve Spring",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,1.5 x 1.5 x 0.4 inches,0.50 Pounds,/parts/mopar-retainer-valve-spring~5245374.html
7,4761616,"SPRING, Valve, (Serviced in Sets Only)",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,,,/parts/mopar-spring-valve-serviced-in-sets-only~4761616.html
8,5245162,"SEAT, Valve Spring",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,discontinued,,,1.5 x 1.5 x 0.2 inches,0.50 Pounds,/parts/mopar-seat-valve-spring~5245162.html
9,53009886,"SEAL, Intake Valve",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",10,1,,33002729,,available,8.95,6.17,1.0 x 0.9 x 0.8 inches,0.40 Pounds,/parts/mopar-seal-valve-guide~53009886.html
10,53009887,"SEAL, Exhaust Valve",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",10,1,,33002522,,available,15.65,10.83,1.1 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-seal-valve-guide~53009887.html
11,4883657AA,"VALVE, Intake",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,.005 O/S,available,3.87,3.04,,0.60 Pounds,/parts/mopar-valve-intake~4883657aa.html
11,4883658AA,"VALVE, Intake",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,.015 O/S,discontinued,,,,0.70 Pounds,/parts/mopar-intake-valve~4883658aa.html
11,04883659AA,"VALVE, Intake",,1992-1996,,10 Cyl 8.0L,,,,,.030 O/S,discontinued,,,,,
11,5245163,"VALVE, Intake",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,10,1,,,Standard,discontinued,,,,0.70 Pounds,/parts/mopar-intake-valve~5245163.html
