ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,F877JX9,"COVER, Seat Belt Turning Loop",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-cover-turning-loop~f877jx9.html
2,6034459,"BOLT, Shoulder Belt Upper",,"2000-2001, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,1.30 Pounds,/parts/mopar-bolt-pan-head~6034459.html
3,6034389,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-2002,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"BOLT, Outer Buckle, 7/16-20x1.87 (Label Number 4708460-1)",discontinued,,,,0.50 Pounds,/parts/mopar-bolt-pan-head-shoulder~6034389.html
3,GV17LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Left - 1992,discontinued,,,,2.90 Pounds,/parts/mopar-seat-belt-front-outer~gv17lx9.html
3,GV22LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Right - 1992,discontinued,,,,2.90 Pounds,/parts/mopar-seat-belt-front-outer~gv22lx9.html
3,HC68MX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1993-1994,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Right - 1993-94-95, (Mounted on Bulkhead)",discontinued,,,,,/parts/mopar-seat-belt-front-outer~hc68mx9.html
3,HC77MX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1993-1994,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Left - 1993-94-95, (Single Retractor)",discontinued,,,,,/parts/mopar-belt-frt-st-lap-shldr-lt~hc77mx9.html
3,HV60LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Black (Dual Retractor), Right (Label Number 4708460-1)",available,107,92.34,,5.20 Pounds,/parts/mopar-belt-frt-st-lap-shldr-rt~hv60lx9.html
3,HV61LX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Black (Dual Retractor), Left (Label Number 4708460-1)",discontinued,,,,5.20 Pounds,/parts/mopar-belt-frt-st-lap-shldr-rt~hv61lx9.html
3,MB86SX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1992-2002,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,,,,"Flat Black, Label 4763988 (Label Number 4708460-1)",discontinued,,,,,
3,PD74RX9,"SEAT BELT, Lap and Shoulder Door Mounting",,1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,4.2 x 4.2 x 4.1 inches,2.90 Pounds,/parts/mopar-seat-belt-front~pd74rx9.html
5,6033688,RIVET,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,available,8.05,5.59,2.0 x 0.4 x 0.4 inches,0.70 Pounds,/parts/mopar-rivet~6033688.html
8,6101340,U-NUT,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,3,1,,,,available,11.8,8.1,1.7 x 0.8 x 1.1 inches,0.40 Pounds,/parts/mopar-nut~6101340.html
9,6100557,SCREW and WASHER,,"2004-2006, 1992-2002","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",6,1,,,,available,9.2,6.41,1.0 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6100557.html
10,4642178,"REINFORCEMENT, Rectractor Mounting, Right",Right,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,22.67,17.82,,2.60 Pounds,/parts/mopar-reinf-front-door-retractor-mounti~4642178.html
10,4642179,"REINFORCEMENT, Rectractor Mounting, Right",Left,1992-1996,,10 Cyl 8.0L,,,,,"REINFORCEMENT, Rectractor Mounting, Left",discontinued,,,,,
,JR14LX9,"BEZEL, Seat Shoulder Belt (w/Slit - Replaces Produsction Bezel Which Will Be Cut Off Belt Assy) 1992-93, Right",Right,1992-1993,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-frt-seat-shldr-belt-rt-bez~jr14lx9.html
,JR15LX9,"BEZEL, Seat Shoulder Belt (w/Slit - Replaces Produsction Bezel Which Will Be Cut Off Belt Assy) 1992-93, Right",Left,1992-1993,,,,,,,"BEZEL, Seat Shoulder Belt (w/Slit - Replaces Produsction Bezel Which Will Be Cut Off Belt Assy) 1992-93, Left",discontinued,,,,,
,4708494,"SPACER, Seat Belt Retainer to Frame 1992-93",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,available,1.78,1.4,1.0 x 1.0 x 0.4 inches,0.60 Pounds,/parts/mopar-shim-seat-belt-retainer~4708494.html
,4741764,"SPACER, Used When Door Panel Assy Is Installed To Replace Tearing Stanchion Closeout Cover - 1992",,,,,,,,,,discontinued,,,,,
