ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,LB46PAK,"WHEEL, Road",,1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Front, Right (1995)",discontinued,,,21.6 x 21.4 x 16.8 inches,34.60 Pounds,/parts/mopar-wheel-front-road-rt~lb46pak.html
1,4642188,"WHEEL, Road",,1992-1994,,10 Cyl 8.0L,,,,,"Front, Right (1992-94)",discontinued,,,,,
1,4642189,"WHEEL, Road",,1992-1994,,10 Cyl 8.0L,,,,,"Front, Left (1992-94)",discontinued,,,,,
1,4642816,"WHEEL, Road",,1992-1994,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Rear, Right (1992-94)",discontinued,,,21.2 x 21.4 x 15.3 inches,35.20 Pounds,/parts/mopar-wheel-rear-road-right~4642816.html
1,4642817,"WHEEL, Road",,1992-1994,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Rear, Left (1992-94)",discontinued,,,,33.70 Pounds,/parts/mopar-wheel-rear-road-left~4642817.html
1,LB47PAK,"WHEEL, Road",,1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Front, Left (1995)",discontinued,,,,33.20 Pounds,/parts/mopar-wheel-front-road-lt~lb47pak.html
1,LB48PAK,"WHEEL, Road",,1995,,10 Cyl 8.0L,,,,,"Rear, Right (1995)",discontinued,,,,,
1,LB49PAK,"WHEEL, Road",,1995,,10 Cyl 8.0L,,,,,"Rear, Left (1995)",discontinued,,,,,
1,MC25PAK,"WHEEL, Road",,1992-1997,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"Silver (Front, 1996)",discontinued,,,,29.30 Pounds,/parts/mopar-wheel-aluminum~mc25pak.html
1,MC25SW1,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"White (Front, 1996)",discontinued,,,,,
1,MC25SY4,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"Yellow (Front, 1996)",discontinued,,,,,
1,MC25SZ2,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"Bright (Front, 1996)",discontinued,,,,,
1,MC36PAK,"WHEEL, Road",,1992-1998,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"Silver (Rear, 1996)",discontinued,,,,34.30 Pounds,/parts/mopar-wheel-aluminum~mc36pak.html
1,MC36SW1,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"White (Rear, 1996)",discontinued,,,,,
1,MC36SY4,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"Yellow (Rear, 1996)",discontinued,,,,,
1,MC36SZ2,"WHEEL, Road",,,,10 Cyl 8.0L,2,,,,"Bright (Rear, 1996)",discontinued,,,,,
2,6034958,"NUT, Wheel",,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,24,1,,,,available,18.75,14.51,0.9 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-nut-hex~6034958.html
3,4708167,"TOOL, Wheel Cap Removal",,1992-1999,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,5.8 x 0.4 x 0.4 inches,1.80 Pounds,/parts/mopar-wrench-wheel-cap-removal~4708167.html
4,2073355,"STEM, Rubber Valve",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,4725934AA,,available,4.9,3.38,1.0 x 1.1 x 2.1 inches,0.40 Pounds,/parts/mopar-stem-wheel-valve~2073355.html
