ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,GA78LX9,TOUPETTE ASSEMBLY-TOP,,1992,,,,,,,,discontinued,,,,,
1,HS53LX9,TOUPETTE ASSEMBLY-TOP,,1993,,,,,,,"1993, Up to 4-28-93",discontinued,,,,,
1,JU70MX9,TOUPETTE ASSEMBLY-TOP,,1993-1994,,,,,,,"1993-94, After 4-29-93, Up to 6-22-94",discontinued,,,,,
1,MB69PX9,TOUPETTE ASSEMBLY-TOP,,1994-1995,,,,,,,"1994-95, After 6-22-94",discontinued,,,,,
1,PG65RX9,TOUPETTE ASSEMBLY-TOP,,1996,,,,,,,"1996, Flat Black",discontinued,,,,,
2,4643927,"GROMMET, Sport Cap",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-sport-cap-grommet~4643927.html
3,4796302,"SIDE RAIL, Toupette Assy. , Right",Right,,,,,,,,,discontinued,,,,,
3,4796303,"SIDE RAIL, Toupette Assy. , Right",Left,,,,,,,,"SIDE RAIL, Toupette Assy. , Left",discontinued,,,,,
,4882849,"FASTENER, Side Curtain",,,,,,,,,,discontinued,,,,,
,4882847,"LATCH, Scissor, Rear",Left,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,124.26,97.65,,0.60 Pounds,/parts/mopar-scissor-latch~4882847.html
,4882848,"LATCH, Scissor, Rear",Right,,,,,,,,,discontinued,,,,,
,6035085,"SCREW TAPPING, Snap Tonneau Cover Mounting",,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,3,1,,,,discontinued,,,1.3 x 0.5 x 0.5 inches,0.50 Pounds,/parts/mopar-screw-tapping~6035085.html
,6035227,"SCREW TAPPING, Snap Tonneau Cover Mounting",,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"STUD, Toupette Hook Attach",discontinued,,,2.0 x 0.3 x 0.3 inches,2.40 Pounds,/parts/mopar-stud~6035227.html
,4882846,"SEAL, Rear Toupette",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-seal-seal~4882846.html
,HC41LX7,"STORAGE BAG, Toupette Top",,,,,,,,,,discontinued,,,,,
,GA79LX7,"TONNEAU-COVER, 1992-94",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,8.90 Pounds,/parts/mopar-cover~ga79lx7.html
