ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4462469,"LOUVER, Air Outlet",,,,,3,,,,,discontinued,,,,,
2,4643122,"DUCT, Heater, Left",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,10.1 x 7.3 x 6.8 inches,0.80 Pounds,/parts/mopar-duct-air-outlet~4643122.html
3,6032723,SCREW,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,6034949,,available,9.15,6.35,1.1 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-self-tapping~6032723.html
4,4643123,"ADAPTER, Defroster Duct",,1992-1996,,10 Cyl 8.0L,,,,,"DUCT, Defroster Adapter",discontinued,,,,,
4,4643708,"ADAPTER, Defroster Duct",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"GRILLE, Defroster Duct",discontinued,,,,0.60 Pounds,/parts/mopar-grille-defroster~4643708.html
4,4848764,"ADAPTER, Defroster Duct",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,12.1 x 6.1 x 3.1 inches,0.70 Pounds,/parts/mopar-adapter-defroster-duct~4848764.html
5,4642735,"VENT, Right Duct",,1992-2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
5,4763113,"VENT, Right Duct",,1992-2002,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,16.7 x 10.2 x 6.2 inches,1.00 Pounds,/parts/mopar-vent-a-c-duct-right~4763113.html
6,4708321,"VENT, Center Duct",,1992-1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"OUTLET, Center Duct",discontinued,,,25.0 x 10.2 x 5.7 inches,1.30 Pounds,/parts/mopar-outlet-duct-center~4708321.html
6,4709089,"VENT, Center Duct",,1992-1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
6,4709091,"VENT, Center Duct",,1992-1996,"GTS Coupe, RT/10 Convertible; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"SEAL, Center Outlet Duct to Bezel",discontinued,,,19.1 x 5.1 x 0.8 inches,0.50 Pounds,/parts/mopar-seal-center-outlet~4709091.html
6,4763854,"VENT, Center Duct",,1992-1996,"29; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
6,4763954,"VENT, Center Duct",,1992-1996,"29; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-pin~4763954.html
7,4642733,"VENT, Left Duct",,1992-2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
7,4643709,"VENT, Left Duct",Left,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"VENT, Lap Cooler Duct, Left",discontinued,,,,,
7,4763111,"VENT, Left Duct",,1992-2002,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,15.6 x 10.1 x 2.7 inches,0.80 Pounds,/parts/mopar-vent-a-c-duct-left~4763111.html
