ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4746285,"CYLINDER, Ignition",,1994-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,174,116.18,5.8 x 4.1 x 1.2 inches,0.70 Pounds,/parts/mopar-ign-cyl-cyl-uncoded-black~4746285.html
1,5257145,"CYLINDER, Ignition",,1992-1993,,10 Cyl 8.0L,,,,,,discontinued,,,,,
2,4054202,NUT,,"2009-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,27.6,11,1.6 x 1.6 x 0.6 inches,0.50 Pounds,/parts/mopar-nut-cylinder-lock~4054202.html
3,3695321,GASKET,,"2009-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,15.75,5.53,,0.50 Pounds,/parts/mopar-gasket-lock-cylinder~3695321.html
4,4615348,"CYLINDER, Deck Lid",,1992,,10 Cyl 8.0L,,,,,,discontinued,,,,,
4,4723492,"CYLINDER, Deck Lid",,1993,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-cylinder-lock~4723492.html
4,4746671,"CYLINDER, Deck Lid",,1994,,10 Cyl 8.0L,,,,,,discontinued,,,,,
4,4778147,"CYLINDER, Deck Lid",,1995-1996,"ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,5.6 x 4.2 x 0.8 inches,0.70 Pounds,/parts/mopar-cyl-lock-deck-lid-lock~4778147.html
5,55075487,"KEY, Ignition",,1994-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,27.35,19.05,2.6 x 1.4 x 0.2 inches,0.40 Pounds,/parts/mopar-key-blank~55075487.html
5,4723480,"KEY, Ignition",,1992-1993,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,25.76,20.24,2.6 x 1.3 x 0.2 inches,0.50 Pounds,/parts/mopar-key-blank-primary-lock-cyl-78-groove~4723480.html
5,4883828AA,"KEY, Ignition",,1996,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,1996 (Viper Head),available,200,162,3.2 x 1.8 x 0.5 inches,0.40 Pounds,/parts/mopar-key-ignition~4883828aa.html
6,4378753,"KEY, Deck Lid",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,5.6 x 4.2 x 0.1 inches,0.40 Pounds,/parts/mopar-key-valet~4378753.html
7,4469340,"MODULE, Keyless Entry 1992-94",,1992-1994,27,,,,,,,discontinued,,,,,
7,4759017,"MODULE, Keyless Entry 1992-94",,1995-1996,,,,,,,,discontinued,,,,,
7,5245295,"MODULE, Keyless Entry 1992-94",,1996,29,,,,,,"1996, Coupe",discontinued,,,,,
8,4469341,"TRANSMITTER, Keyless Entry 1992-94",,1992-1994,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.3 x 1.7 x 0.6 inches,1.00 Pounds,/parts/mopar-transmtr-remote-keyless-entry~4469341.html
8,5245289,"TRANSMITTER, Keyless Entry 1992-94",,1996,"29; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"1996, Coupe",discontinued,,,,,
8,56007049,"TRANSMITTER, Keyless Entry 1992-94",,1995-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
9,4723494,"LEVER, Lock Cylinder To Deck Lid",,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,11.8,8.17,1.6 x 0.3 x 0.1 inches,0.50 Pounds,/parts/mopar-lever-deck-lid-lock-cylinder~4723494.html
,4848692,"GASKET, Key Cylinder Isolator",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,12.14,9.54,4.8 x 5.7 x 0.3 inches,0.40 Pounds,/parts/mopar-gasket-key-cylinder-isolator~4848692.html
,4740760,"KNOB, Ignition Cylinder",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-knob-ignition-cylinder~4740760.html
,4848746,"LOCK, Dual",,,,,,,,,I/Panel Center Bezel,discontinued,,,,,
,4848747,"LOCK, Dual",,,,,,,,,Console,discontinued,,,,,
