ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4643391,"LEVER ASSEMBLY, Parking Brake Complete",,1992-1995,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
1,4848275,"LEVER ASSEMBLY, Parking Brake Complete",,1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,
1,PS53SB4,"LEVER ASSEMBLY, Parking Brake Complete",,1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"1996, Bright Blue",discontinued,,,17.4 x 5.4 x 4.5 inches,6.40 Pounds,/parts/mopar-lever-parking-brake~ps53sb4.html
1,PS53SR1,"LEVER ASSEMBLY, Parking Brake Complete",,1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"1996, Red",discontinued,,,,4.20 Pounds,/parts/mopar-lever-park-brake~ps53sr1.html
1,PS53SX9,"LEVER ASSEMBLY, Parking Brake Complete",,1996,"27; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"1996, Flat Black",discontinued,,,17.4 x 5.4 x 4.5 inches,4.00 Pounds,/parts/mopar-lever-parking-brake~ps53sx9.html
2,4643821,"CABLE ASSEMBLY, Parking Brake",,1992-1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,14.1 x 14.8 x 1.7 inches,5.40 Pounds,/parts/mopar-cable-parking-brake~4643821.html
2,4763181,"CABLE ASSEMBLY, Parking Brake",,1996,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,9.1 x 15.0 x 1.3 inches,1.50 Pounds,/parts/mopar-cable-parking-brake~4763181.html
3,6031012,"SCREW, Hex Head Tapping",,,,,2,,,,,discontinued,,,,,
4,34201596,"BOLT, Pan Head Torx",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-bolt-pan-head~34201596.html
6,4643984,"GUIDE, Parking Brake Cable",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,1.67,1.31,,0.50 Pounds,/parts/mopar-parking-brake-cable-guide~4643984.html
7,4643036,"REINFORCEMENT ASSEMBLY, Parking Brake Mounting",,,,,,,,,,discontinued,,,,,
8,6101362,"NUT and WASHER, Lever Mounting",,,,,3,,,,,discontinued,,,,,
9,4643320,"PANEL, Tunnel",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,7.30 Pounds,/parts/mopar-panel-top-of-tunnel~4643320.html
