ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4373537,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1994,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.2 x 4.0 x 4.2 inches,0.80 Pounds,/parts/mopar-switch-stop-lp-spd-cont~4373537.html
1,4565215,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1992-1993,,10 Cyl 8.0L,,,,,,discontinued,,,,,
1,4565238,"SWITCH, Stop Lamp/Speed Control (Clutch Inter-Lock)",,1995-1996,,10 Cyl 8.0L,,,,,,discontinued,,,,,
2,6031704,CLIP,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,0.7 x 0.7 x 0.4 inches,0.40 Pounds,/parts/mopar-retainer-brake-stop-lamp-switch~6031704.html
3,J3230408,"SWITCH, Engine Temp. Warning Lamp",,,,,,,,,,discontinued,,,,,
4,4626593,"SWITCH, Back-Up Lamp",,"2013-2015, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,57.35,39.9,3.3 x 3.1 x 1.9 inches,0.60 Pounds,/parts/mopar-switch-back-up-lamp~4626593.html
,56007255,"SWITCH ASSEMBLY, Directional Signal",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.3 x 5.3 x 6.7 inches,0.90 Pounds,/parts/mopar-switch-turn-signal~56007255.html
,56003406,"SWITCH, Dimmer",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,68.68,53.97,4.2 x 2.0 x 2.4 inches,0.60 Pounds,/parts/mopar-switch-dimmer~56003406.html
,5245736,"SWITCH, EBL",,,,,,,,,,discontinued,,,,,
,4565281,"SWITCH, Fog Lamp",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-switch~4565281.html
,4565320,"SWITCH, Headlamp",,,,,,,,,,discontinued,,,,,
,4763135,"SWITCH, Headlamp",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 3.4 x 2.6 inches,0.60 Pounds,/parts/mopar-switch-headlamp~4763135.html
,4687594AB,"SWITCH, Hood Alarm",,"2008-2010, 2003-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.7 x 1.8 x 1.9 inches,0.40 Pounds,/parts/mopar-switch-underhood~4687594ab.html
,53007944,"SWITCH, Outside Door Handle",,1992-1997,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,1.4 x 1.1 x 2.0 inches,0.50 Pounds,/parts/mopar-switch-clutch-starter-interlock~53007944.html
,4848150,"SWITCH, Outside Door Handle",,1992-2001,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,unavailable,,,10.7 x 2.9 x 1.4 inches,0.50 Pounds,/parts/mopar-switch-door-handle~4848150.html
,5245299,"SWITCH, Outside Door Handle",,,29,,,,,,"Module Switch, Instrument Panel Dimmer",discontinued,,,,,
,4565268,"SWITCH, Rear Fog Lamp",,,,,,,,,,discontinued,,,,,
,4565268,"SWITCH, Rear Hatch Alarm",,,,,,,,,,discontinued,,,,,
,4685295,"SWITCH, Rear Hatch Alarm",,,,,,,,,,discontinued,,,,,
,4848149,"SWITCH, Rear Hatch Alarm",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 2.5 x 1.8 inches,0.50 Pounds,/parts/mopar-switch-strut~4848149.html
,56021346,"SWITCH, Steering Column-Ignition Lock",,1996,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,56021346AB,,,available,315,212.63,5.6 x 4.2 x 3.1 inches,1.10 Pounds,/parts/mopar-manual-transmission-w-buzzer-halo~56021346.html
,J3250576,"SWITCH, Steering Column-Ignition Lock",,1992-1995,,,,,,,,discontinued,,,,,
