ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,6501706,NUT,,,,,2,,,,,discontinued,,,,,
2,6100887,WASHER,,,,,4,,,,,discontinued,,,,,
4,4643520,"BAR, Torsion Stabilizer",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,76.78,60.34,34.3 x 10.1 x 6.1 inches,9.50 Pounds,/parts/mopar-bar-torsion-differential-stabil~4643520.html
5,4643319,"CROSSEMBER, Transmission Mounting",,,,,,,,,,discontinued,,,,,
6,6502337,NUT (M10x1.50),,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,8.75,6,0.8 x 1.2 x 1.2 inches,0.40 Pounds,/parts/mopar-nut-hex-locking~6502337.html
7,52001172,"BUSHING, Sway Bar Clamp",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-sway-stabilizer-bar-70-d-p~52001172.html
8,52005654,"RETAINER, Sway Bar Bushing",,,,,,,,,,discontinued,,,,,
9,6101413,"BOLT, w/ WASHER (M10x1.50x27.00)",,,,,2,,,,,discontinued,,,,,
10,6501596,"BOLT, w/ WASHER (M10x1.50x45.00)",,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.65,5.94,0.8 x 0.9 x 2.5 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6501596.html
11,4643318,"MOUNT, Transmission",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,4643318AC,,,discontinued,,,4.8 x 2.4 x 3.2 inches,1.70 Pounds,/parts/mopar-insulator-transmission~4643318.html
12,6100945,BOLT (M10x1.50x75.00),,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,3.4 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6100945.html
13,6101467,NUT (M8x1.25),,"2003-2004, 1992-1999","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,,,available,8.15,5.65,0.9 x 1.0 x 0.6 inches,0.60 Pounds,/parts/mopar-nut-hex-flange-lock~6101467.html
14,4642876,PLATE,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,34.8 x 17.2 x 0.4 inches,7.00 Pounds,/parts/mopar-plate-floor-console~4642876.html
