ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,83500225,PROTECTOR,,,,,,,,,,discontinued,,,,,
2,J4200414,NUT,,,,,,,,,,discontinued,,,,,
3,J3228743,"COVER, Shift Lock",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.9 x 3.8 x 0.5 inches,0.40 Pounds,/parts/mopar-shroud-shift-lock~j3228743.html
4,2925062,RING,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,18.75,14.51,,0.40 Pounds,/parts/mopar-snap-ring-steering-shaft~2925062.html
5,J8127874,LOCK,,,,,,,,,,discontinued,,,,,
6,J4487816,"CAM, Cancelling",,,,,,,,,,discontinued,,,,,
7,3575981,SPRING,,,,,,,,,,discontinued,,,,,
8,J4488301,SCREW,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,3,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-screw-pan-head~j4488301.html
9,83500239,"ACTUATOR, Ignition Switch",,,,,,,,,,discontinued,,,,,
10,83501575,"ARM, Switch Actuator",,,,,,,,,,discontinued,,,,,
11,J3229970,"SWITCH, Turn Signal",,,,,,,,,,discontinued,,,,,
12,52004402,SPRING,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,1.5 x 0.7 x 0.7 inches,6.50 Pounds,/parts/mopar-spring-horn-button~52004402.html
13,52004403,PIN,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,/parts/mopar-pin-horn-blowing-contact~52004403.html
14,J3187257,RETAINER,,,,,,,,,,discontinued,,,,,
15,J8133572,SCREW,,,,,3,,,,,discontinued,,,,,
16,J3211424,"SWITCH, Key Buzzer",,,,,,,,,,discontinued,,,,,
17,J4487853,CLIP,,,,,,,,,,discontinued,,,,,
18,4636805,"COVER, Steering Column Housing",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.80 Pounds,/parts/mopar-cover-steering-lock-housing~4636805.html
19,4019787,"ACTUATOR, Dimmer Switch Rod",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-actuator-dimmer-sw-rod~4019787.html
20,3467377,BOLT,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-bolt-lock-release~3467377.html
21,83502103,SCREW,,,,,,,,,,discontinued,,,,,
22,J4487828,SHOE,,,,,,,,,Rt.,discontinued,,,,,
22,J8122716,SHOE,,,,,,,,,Lt.,discontinued,,,,,
23,J8134191,SHAFT,,,,,,,,,,discontinued,,,,,
24,J4487822,PIN,,,,,,,,,,discontinued,,,,,
25,J4487832,SPRING,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,16.55,2.87,,0.50 Pounds,/parts/mopar-spring-tilt-ast~j4487832.html
26,J3208047,SPRING,,,,,,,,,,discontinued,,,,,
27,J3208043,PIN,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-dowel-pin-release-lever~j3208043.html
28,J8133567,LEVER,,,,,,,,,,discontinued,,,,,
29,J4487831,SPRING,,,,,,,,,,discontinued,,,,,
30,83501104,"HOUSING, Steering Column",,,,,,,,,,discontinued,,,,,
31,83510054,PARTS PACKAGE,,,,,,,,,,discontinued,,,,,
32,83510055,RACK PACKAGE,,,,,,,,,,discontinued,,,,,
33,J8134704,CAP,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.3 x 3.3 x 2.4 inches,0.40 Pounds,/parts/mopar-cap-power-steering-reservoir~j8134704.html
34,J8133565,PIN,,,,,,,,,,discontinued,,,,,
35,J8129317,"SPRING, Lt. Lower",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,/parts/mopar-spring-lt-lower~j8129317.html
36,J8129335,"SPRING, Rt. Upper",,,,,,,,,,discontinued,,,,,
37,52003425,"KNOB, Hazard Warning",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,/parts/mopar-knob-hazard-hazard-warning~52003425.html
38,56000033,"SWITCH ASSEMBLY, Wipers",,,,,,,,,,discontinued,,,,,
39,56002951,"LEVER, Turn Signal and Wiper Control",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,8.1 x 8.2 x 6.2 inches,1.40 Pounds,/parts/mopar-lever-turn-sig-int-wipe-wash-dim~56002951.html
40,52006207,"LEVER, Tilt Release",,,,,,,,,,discontinued,,,,,
41,56002285,INSULATOR,,,,,,,,,,discontinued,,,,,
42,34202670,SCREW,,,,,,,,,,discontinued,,,,,
43,J4001267,SCREW,,,,,,,,,,discontinued,,,,,
