ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4763269,"GLASS, Door",Left,1996-2002,,10 Cyl 8.0L,,,,,,discontinued,,,,,
1,4763280,"GLASS, Door",,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"STOP, Glass",discontinued,,,0.7 x 0.7 x 0.2 inches,0.50 Pounds,/parts/mopar-upstop-front-door-window-glass~4763280.html
2,6501373,SCREW,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9,6.23,1.0 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6501373.html
3,4763279,"CHANNEL, Glass",Left,1996-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,,discontinued,,,11.2 x 1.0 x 1.9 inches,1.60 Pounds,/parts/mopar-channel-front-door-glass~4763279.html
4,6504199,SCREW,,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,6.35,2.33,0.9 x 0.9 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-flange-head~6504199.html
5,6502843,NUT,,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,"6502726, 6504030",,available,7.8,5.3,0.8 x 0.8 x 0.4 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-coned-washer~6502843.html
6,4763285,"CHANNEL, Glass Guide",Left,,,,,,,,,discontinued,,,,,
7,6501373,SCREW,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9,6.23,1.0 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6501373.html
8,6500284,NUT,,,,,,,,,,discontinued,,,,,
9,4615678,"STABILIZER, Glass",,1996-1997,GTS Coupe,10 Cyl 8.0L,2,1,4615678AC,,,discontinued,,,2.1 x 1.6 x 1.4 inches,0.50 Pounds,/parts/mopar-bracket-door-glass-belt~4615678.html
10,4763283,"REGULATOR, Glass",Left,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,20.4 x 17.8 x 3.7 inches,3.90 Pounds,/parts/mopar-regulator-front-door-window~4763283.html
