ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4642775,"TOE BOX ASSEMBLY , Right",Left,,,,,,,,"TOE BOX ASSEMBLY , Left",discontinued,,,,,
2,6101479,SCREW and WASHER,,,,,8,,,,,discontinued,,,,,
3,6500434,"STUD, Water Valve Attaching",,,,,2,,,,,discontinued,,,,,
4,6101452,"SCREW, M8x1.25x20.00",,"2013-2017, 1992-2002","GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10","10 Cyl 8.0L, 10 Cyl 8.4L",8,1,,"6500151, 6100295, 6507479AA",,available,8.1,5.65,2.7 x 2.6 x 0.6 inches,0.70 Pounds,/parts/mopar-bolt-hex-head~6101452.html
5,4848452,"PANEL ASSEMBLY, Cowl",,1996,,,,,,,,discontinued,,,,,
5,JV00MX9,"PANEL ASSEMBLY, Cowl",,1994-1995,,,,,,,"1994-95, Black",discontinued,,,,,
6,4643071,"ROD, Cowl Inner Panel Mounting",Left,1992,,10 Cyl 8.0L,,,,,"Left (1992,93,94)",discontinued,,,,,
6,5245872,"ROD, Cowl Inner Panel Mounting",Right,1995,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Right (1995,96)",discontinued,,,8.1 x 1.4 x 0.4 inches,0.50 Pounds,/parts/mopar-rod-cowl-panel~5245872.html
6,5245873,"ROD, Cowl Inner Panel Mounting",Left,1995,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Left (1995,96)",discontinued,,,7.5 x 1.9 x 0.4 inches,0.50 Pounds,/parts/mopar-rod-cowl-panel~5245873.html
7,6035625,"SCREW, .190-16x.750",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,18,12.52,0.8 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-screw-tapping~6035625.html
8,6100557,NUT,,"2004-2006, 1992-2002","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,available,9.2,6.41,1.0 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6100557.html
9,6101479,SCREW and WASHER,,,,,8,,,,,discontinued,,,,,
10,6101089,SCREW and WASHER,,1992-1997,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,2.25,1.77,,0.50 Pounds,/parts/mopar-screw-hex-head~6101089.html
11,6100518,NUT and WASHER,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,9.2 x 1.1 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-to-mtg-bolt~6100518.html
14,4642749,HINGE PILLAR BEAM ASSY.,,,,,,,,,,discontinued,,,,,
15,4708314,"BRACKET, Accelerator Pedal Reinforcement",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,3.27,2.57,,0.50 Pounds,/parts/mopar-accelerator-pedal-reinf-br~4708314.html
16,4708406,"BRACKET, Accelerator Pedal Reinforcement",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-accel-pedal-reinf-bracket~4708406.html
17,6100516,"NUT, M6x1.00",,1992-1999,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,,14.51,0.5 x 0.5 x 0.2 inches,0.50 Pounds,/parts/mopar-nut-hex-flange-lock~6100516.html
,4763896,"ISOLATOR, Cowl to Instrument Panel",,,,,,,,,,discontinued,,,,,
