ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4643870,"FASCIA, I/Panel",Right,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"PANEL, I/Panel Closure, Right",available,22.85,17.96,,0.80 Pounds,/parts/mopar-instrument-closure-panel~4643870.html
1,4643871,"FASCIA, I/Panel",Left,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"PANEL, I/Panel Closure, Left",available,42.33,33.26,,0.80 Pounds,/parts/mopar-bezel-instrument-closure~4643871.html
1,PE85RD5,"FASCIA, I/Panel",,1993-1995,,10 Cyl 8.0L,,,,,1993-95 (Quartz),discontinued,,,,,
1,PE85RX4,"FASCIA, I/Panel",,1993-1995,,10 Cyl 8.0L,,,,,1993-95 (Black),discontinued,,,,,
1,PH10RD5,"FASCIA, I/Panel",,1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,PH10RD5AB,,1996 (Quartz),discontinued,,,58.4 x 15.5 x 14.5 inches,10.30 Pounds,/parts/mopar-i-panel-i-p~ph10rd5.html
1,PH10RX4,"FASCIA, I/Panel",,1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,PH10RX4AB,,1996 (Black),discontinued,,,57.9 x 14.9 x 14.2 inches,9.70 Pounds,/parts/mopar-i-panel-i-p~ph10rx4.html
2,4728733,SPEEDOMETER,,1992,,,,,,,,discontinued,,,,,
2,4741224,SPEEDOMETER,,1993,,,,,,,,discontinued,,,,,
2,4746401,SPEEDOMETER,,,,,,,,,Bux/Canada (Kilo),discontinued,,,,,
3,4642494,"MODULE, Warning Indicators",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,1.20 Pounds,/parts/mopar-module-message-center-module~4642494.html
4,4642131,TACHOMETER,,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,1.60 Pounds,/parts/mopar-gage-tachometer~4642131.html
5,4643967,"GAUGE, Temperature",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Bux/Canada,discontinued,,,,0.80 Pounds,/parts/mopar-gage-temperature~4643967.html
5,4643968,"GAUGE, Temperature",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"CONTROL, Temperatue, Bux/Canada",discontinued,,,10.1 x 3.8 x 3.7 inches,1.10 Pounds,/parts/mopar-gage~4643968.html
6,4643966,"GAUGE, Oil",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Bux/Canada,discontinued,,,,1.00 Pounds,/parts/mopar-gage-oil-pressure~4643966.html
7,4642132,"GAUGE, Fuel",,,,,,,,,,discontinued,,,,,
8,4642135,"GAUGE, Volt",,,,,,,,,,discontinued,,,,,
9,4642743,"DOOR, Glovebox",,1992-1993,,10 Cyl 8.0L,,,,,,discontinued,,,,,
9,4643394,"DOOR, Glovebox",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,"BUMPER, Glovebox Door",discontinued,,,0.9 x 0.3 x 0.3 inches,0.70 Pounds,/parts/mopar-stop-bmpr-g-box-door~4643394.html
9,HS93LX9,"DOOR, Glovebox",,1994-1996,,10 Cyl 8.0L,,,,,1994-96 (Black),discontinued,,,,,
9,HS93MD5,"DOOR, Glovebox",,1994-1996,,10 Cyl 8.0L,,,,,1994-96 (Quartz),discontinued,,,,,
9,QE53TX7,"DOOR, Glovebox",,"1998, 1992-1996","29; GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Black, 1996-Coupe",discontinued,,,,1.20 Pounds,/parts/mopar-glove-box-rear-cargo~qe53tx7.html
10,6032723,SCREW,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,6034949,,available,9.15,6.35,1.1 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-self-tapping~6032723.html
11,4643396,"CLIP, Fascia Mtg.",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,5,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-clip-fascia-mounting~4643396.html
12,4643398,"CARRIER, I/Panel",,1992-1996,,10 Cyl 8.0L,,,,,"PLATE, Striker Mtg.",discontinued,,,,,
12,4678103,"CARRIER, I/Panel",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"STRIKER, Glovebox Door",discontinued,,,,0.50 Pounds,/parts/mopar-striker-i-pnl-g-box~4678103.html
12,4763468,"CARRIER, I/Panel",,1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"CARRIER, I/Panel (1996 Coupe)",discontinued,,,,11.80 Pounds,/parts/mopar-i-panel-instrument-panel~4763468.html
13,HS86MKA,"FASCIA, Lower Right",,,,,,,,,Tan,discontinued,,,,,
14,4565320,"SWITCH, H/Lamp and Dome Lamp",,1992-1996,,10 Cyl 8.0L,,,,,,discontinued,,,,,
14,4643916,"SWITCH, H/Lamp and Dome Lamp",,1992-1996,,10 Cyl 8.0L,,,,,"PLATE, Mtg.",discontinued,,,,,
14,4643917,"SWITCH, H/Lamp and Dome Lamp",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"KNOB, w/Shaft, H/Lamp Switch",discontinued,,,1.8 x 1.8 x 6.6 inches,1.20 Pounds,/parts/mopar-knob-shft-h-l-switch~4643917.html
14,4763135,"SWITCH, H/Lamp and Dome Lamp",,1996,"29; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 3.4 x 2.6 inches,0.60 Pounds,/parts/mopar-switch-headlamp~4763135.html
15,HS89MD5,"FASCIA, Lower Left",,,,,,,,,Quartz,discontinued,,,,,
15,HS89MKA,"FASCIA, Lower Left",,,,,,,,,Tan,discontinued,,,,,
16,4643774,"SEAL, Lower Fascia, Right",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,5.1 x 4.1 x 0.7 inches,0.40 Pounds,/parts/mopar-seal-air-outlet~4643774.html
17,4643773,"SEAL, Lower Fascia, Left",,1992-1996,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-seal-air-outlet~4643773.html
18,4643393,"LATCH, Glovebox Door",,,,,,,,,,discontinued,,,,,
,4848773,"COVER ASSEMBLY, Fuse Access",,,,,,,,,,discontinued,,,,,
