ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,GM76MKA,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Carmel/Tan, Right (1992-93)",discontinued,,,,,
1,GM76MXD,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Black/Medium Quartz, Right (1992-93)",discontinued,,,,,
1,GM77MKA,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Carmel/Tan, Left (1992-93)",discontinued,,,,,
1,GM77MXD,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Black/Medium Quartz, Left (1992-93)",discontinued,,,,,
1,HT98LXD,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Black/Medium Quartz, Right (1992-93)",discontinued,,,,,
1,HT98MKA,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Carmel/Tan, Right (1992-93)",discontinued,,,,,
1,HT99LXD,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Black/Medium Quartz, Left (1992-93)",discontinued,,,,,
1,HT99MKA,"PANEL, Door",,1992-1993,,10 Cyl 8.0L,,,,,"Carmel/Tan, Left (1992-93)",discontinued,,,,,
1,HY60MKA,"PANEL, Door",,1994,,10 Cyl 8.0L,,,,,"Carmel/Tan, Right (1994)",discontinued,,,,,
1,HY60MXD,"PANEL, Door",,1994,,10 Cyl 8.0L,,,,,"Black/Medium Quartz, Right (1994)",discontinued,,,,,
1,HY61MKA,"PANEL, Door",,1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Carmel/Tan (1995)
Carmel/Tan, Left (1994)",available,117.51,92.34,,10.50 Pounds,/parts/mopar-panel-door-trim~hy61mka.html
1,HY61MXD,"PANEL, Door",,1995,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Black/Medium Quartz (1995)
Black/Medium Quartz, Left (1994)",discontinued,,,45.5 x 30.4 x 9.4 inches,10.20 Pounds,/parts/mopar-panel-door-trim~hy61mxd.html
1,HY61SX7,"PANEL, Door",,1996,27,10 Cyl 8.0L,,,,,Black (1996),discontinued,,,,,
1,JW32MKA,"PANEL, Door",,1994,,10 Cyl 8.0L,,,,,"Carmel/Tan, Right (1994)",discontinued,,,,,
