ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4626460,CASE,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,discontinued,,,16.0 x 14.6 x 11.8 inches,17.90 Pounds,/parts/mopar-case-transmission~4626460.html
2,4626591,"PLUG, Drain",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,4.9,3.32,0.9 x 0.8 x 0.7 inches,0.60 Pounds,/parts/mopar-plug-transmission-drain~4626591.html
3,4626511,"ADAPTER, Front",,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,13.4 x 12.8 x 3.0 inches,18.80 Pounds,/parts/mopar-adapter-transmission~4626511.html
4,4626546,"HOUSING, Rear",,,,,,,,,,discontinued,,,,,
5,4626461,"STUD, Extension",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,9.95,6.93,2.3 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-stud~4626461.html
6,4626514,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,"PIN, Hollow",available,6.5,4.49,0.8 x 0.2 x 0.3 inches,0.60 Pounds,/parts/mopar-dowel-pin-transmission-case~4626514.html
6,4626515,"NUT, Rear Housing",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,"SEAL, Input Shaft",discontinued,,,3.3 x 3.1 x 1.6 inches,0.50 Pounds,/parts/mopar-seal-input-shaft~4626515.html
6,4626520,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",7,1,,,BOLT,discontinued,,,2.0 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-bolt-transmission-case~4626520.html
6,4626520,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"BOLT, Case Front Adapter",discontinued,,,2.0 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-bolt-transmission-case~4626520.html
6,4626567,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006",,"10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,,,,MAGNET,discontinued,,,,,
6,4626568,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,15.7,10.89,0.8 x 0.9 x 0.4 inches,0.50 Pounds,/parts/mopar-nut-transmission-case~4626568.html
6,4626570,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"CLIP, Vent Tube",available,7,4.83,0.9 x 0.9 x 0.2 inches,0.50 Pounds,/parts/mopar-retainer-vent-tube~4626570.html
6,4626573,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,BREATHER,available,28.2,19.81,1.5 x 1.9 x 0.5 inches,0.50 Pounds,/parts/mopar-vent-transmission~4626573.html
6,4626591,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"PLUG, Front Adapter Inspection",available,4.9,3.32,0.9 x 0.8 x 0.7 inches,0.60 Pounds,/parts/mopar-plug-transmission-drain~4626591.html
6,4626592,"NUT, Rear Housing",,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,VENT,available,32.2,22.31,7.2 x 2.0 x 1.9 inches,0.70 Pounds,/parts/mopar-vent-transmission-pipe~4626592.html
6,4626595,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006",,"10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"RING, Rear Sealing",discontinued,,,,,
6,4626596,"NUT, Rear Housing",,"2013-2017, 2008-2010, 1992-2006",,"10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,"CLIP, Wire Harness",discontinued,,,,,
7,4531216,"SEAL, Rear",,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,4531216AB,,,available,52.3,36.35,,,/parts/mopar-seal-extension-yoke~4531216.html
