ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4848697AB,WINDSHIELD,,,29,,,,,,,discontinued,,,,,
2,4643847,SHIM Windshield,,"2013-2014, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,2.2,1.28,1.3 x 0.5 x 0.5 inches,0.90 Pounds,/parts/mopar-shim-windshield~4643847.html
3,4054098,BUTTON Rear View Mirror,,,,,,,,,,discontinued,,,,,
3,PR74DX9AD,FRAME Windshield,,,,,,,,,,discontinued,,,,,
4,4643256,MIRROR Inside Rear View Lighted,,,,,,,,,,discontinued,,,,,
4,6031094,SCREW Pan Head Tapping .19-16x.375,,,,,,,,,,discontinued,,,,,
5,4054098,BUTTON Rear View Mirror,,,,,,,,,,discontinued,,,,,
5,4848196,MIRROR ASSEMBLY I/S Prismatic,,,,,,,,,,discontinued,,,,,
6,6031094,SCREW Pan Head Tapping .19-16x.375,,"2014-2017, 2008-2010, 2005-2006, 1996-2002",,"10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,,,
6,4278662,SPACER,,"2014-2017, 2008-2010, 2005-2006, 1996-2002","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,available,4.15,2.85,1.3 x 0.6 x 0.5 inches,0.50 Pounds,/parts/mopar-spacer~4278662.html
7,4848883AA,BACKLITE,,1997-2002,RT/10 Convertible,10 Cyl 8.0L,,,,,,discontinued,,,51.0 x 24.2 x 0.4 inches,3.60 Pounds,/parts/mopar-backlite~4848883aa.html
7,PE86SBE,MOLDING A PILLAR,,1996-1997,GTS Coupe,10 Cyl 8.0L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-cover-a-pillar~pe86sbe.html
10,QM22SX4,FRAME Windshield Surround,,,,,,,,,,discontinued,,,,,
11,4848823,BRACKET Windshield Frame to Roof,,1997-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,5,1,,,,discontinued,,,2.6 x 1.5 x 1.4 inches,0.50 Pounds,/parts/mopar-bracket-windshield-frame-to-roof~4848823.html
12,4848527,BRACKET Windshield,Left,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,9.5 x 3.5 x 1.4 inches,1.00 Pounds,/parts/mopar-bracket-windshield~4848527.html
13,6100582,BOLT AND CONED WASHER Hex Head M8x20x20,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,8,1,,,,discontinued,,,0.9 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6100582.html
14,4848307,RETAINER A Pillar Trim,Left,1997-1999,RT/10 Convertible,10 Cyl 8.0L,,,,,,discontinued,,,14.3 x 1.6 x 1.7 inches,0.80 Pounds,/parts/mopar-retainer-a-pillar-trim~4848307.html
15,4763889AB,RETAINER Front Pillar to Glass,Left,,,,,,,,,discontinued,,,,,
16,RC77DX9AA,CAP,Left,1997-2002,RT/10 Convertible,10 Cyl 8.0L,,,,,,discontinued,,,1.3 x 1.6 x 0.4 inches,0.40 Pounds,/parts/mopar-cap-end~rc77dx9aa.html
16,5245843,LOCK COVER Dual Cover Half,,1997-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,2,1,,,,discontinued,,,1.3 x 1.3 x 0.4 inches,0.40 Pounds,/parts/mopar-cover-dual~5245843.html
17,5245842,LOCK COVER Dual Body Half,,1997-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,2,1,,,,discontinued,,,1.7 x 1.3 x 0.4 inches,0.40 Pounds,/parts/mopar-cover-dual~5245842.html
,4848889AA,BACKLITE Lock Cover,Left,1997-2002,RT/10 Convertible,10 Cyl 8.0L,,,,,,available,23.35,18.35,6.2 x 7.4 x 1.8 inches,0.40 Pounds,/parts/mopar-cover-lock-cover~4848889aa.html
,4848891AA,BACKLITE Lock Package,,1997-2002,RT/10 Convertible,10 Cyl 8.0L,,,,,,discontinued,,,7.1 x 6.2 x 0.1 inches,1.80 Pounds,/parts/mopar-key-pkg-lock-package~4848891aa.html
,4848886AA,BACKLITE Snap Assy,,1997-2002,RT/10 Convertible,10 Cyl 8.0L,3,1,,,,discontinued,,,3.5 x 2.7 x 0.8 inches,0.40 Pounds,/parts/mopar-snap-snap-assy~4848886aa.html
,GA75LX7,BAG Backlite,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,9.5 x 7.3 x 1.4 inches,1.60 Pounds,/parts/mopar-bag-backlite~ga75lx7.html
,PE71SBE,COVER A Pillar Trim,,1996-1997,GTS Coupe,10 Cyl 8.0L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-cover-a-pillar-rt~pe71sbe.html
,4848894AA,KEY Backlite Viper,,1997-2002,RT/10 Convertible,10 Cyl 8.0L,2,1,,,,discontinued,,,4.1 x 1.0 x 0.1 inches,0.40 Pounds,/parts/mopar-key-backlite~4848894aa.html
,4848895AA,LOCK COVER End Cap,,1997-2002,RT/10 Convertible,10 Cyl 8.0L,2,1,,,,discontinued,,,0.5 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-cover-end-cap~4848895aa.html
,4643847,SHIM Windshield,,"2013-2014, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,2.2,1.28,1.3 x 0.5 x 0.5 inches,0.90 Pounds,/parts/mopar-shim-windshield~4643847.html
