ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4848205,SEAL Door,Left,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,4.9 x 2.8 x 0.5 inches,0.40 Pounds,/parts/mopar-seal-door~4848205.html
1,4848717,TAPE Foam,,1997-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,4,1,,,,discontinued,,,6.6 x 4.6 x 0.6 inches,1.00 Pounds,/parts/mopar-silencer-foam~4848717.html
2,4763889AB,RETAINER Front Pillar to Glass,Left,1992-2002,,10 Cyl 8.0L,,,,,,discontinued,,,,,
2,4642872,SEAL Door,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,,0.60 Pounds,/parts/mopar-seal-door~4642872.html
3,4848305AE,WEATHERSTRIP A-Pillar to Roof Body Mounted,Left,,,,,,,,,discontinued,,,,,
4,4763879AB,WEATHERSTRIP Door Glass,Left,,,,,,,,,discontinued,,,,,
5,4848465AB,RETAINER B Pillar Weatherstrip,Left,,,,,,,,,discontinued,,,,,
5,4763891,WEATHERSTRIP Door Belt,,,,,,,,,Left Inner,discontinued,,,,,
6,4763883,WEATHERSTRIP Door Belt,,,,,,,,,Left Outer,discontinued,,,,,
,4658673,PIN PUSH .150x.410 Weatherstrip,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.55,5.94,0.7 x 0.5 x 0.4 inches,0.60 Pounds,/parts/mopar-pin~4658673.html
