ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4709219AB,DOOR Fuel Fill,,,,,,,,,,discontinued,,,,,
2,4643884,SHIM Fuel Filler Door,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.60 Pounds,/parts/mopar-shim-fuel-filler-door~4643884.html
4,4763838,BUMPER Fuel Door,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,1.0 x 1.0 x 0.8 inches,0.50 Pounds,/parts/mopar-bumper-fuel-door~4763838.html
5,4709364,PLATE AND SCREW Fuel Filler Door,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,8.05,6.33,1.3 x 0.7 x 1.7 inches,0.80 Pounds,/parts/mopar-reinfmnt-fuel-filler-door~4709364.html
6,4708234,LABEL Fuel,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-label-fuel~4708234.html
7,4848132,CAP Fuel Filler,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.0 x 3.0 x 2.6 inches,0.60 Pounds,/parts/mopar-cap-fuel-filler~4848132.html
10,6102004,SCREW CAP M8x1.25x26.8,,1997-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,4,1,,,,discontinued,,,1.4 x 0.3 x 0.3 inches,0.50 Pounds,/parts/mopar-screw-cap~6102004.html
11,5245877,SEAL Truck Closeout,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.4 x 6.8 x 0.4 inches,0.90 Pounds,/parts/mopar-seal-truck-closeout~5245877.html
12,4399599,SEAL,,"2008-2010, 1998-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,4.05,1.4,1.9 x 1.9 x 0.3 inches,0.40 Pounds,/parts/mopar-seal-socket~4399599.html
13,4643885,SEAL Fuel Filler Flange,,1997-2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Fuel Filler,discontinued,,,9.3 x 0.5 x 0.4 inches,0.60 Pounds,/parts/mopar-seal-fuel-filler-flange~4643885.html
14,4763476,SHIELD Fuel Filler Door,,1992-2002,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,8.75,7.57,9.5 x 6.2 x 0.1 inches,0.50 Pounds,/parts/mopar-shield-fuel-filler-door~4763476.html
15,4848956AA,TUBE Drain,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,11.62,9.13,5.0 x 1.8 x 1.3 inches,0.60 Pounds,/parts/mopar-tube-drain~4848956aa.html
16,4763684AB,CAP Fuel Filler,,,,,,,,,,discontinued,,,,,
