ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4682828,CAP Coolant Reserve Tank,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,55111074AC,,,available,48.85,34.13,0.6 x 2.6 x 5.1 inches,0.40 Pounds,/parts/mopar-cap-coolant-reserve-tank~4682828.html
2,52027784,TANK Coolant Reserve,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,73.45,50.27,12.8 x 8.2 x 5.1 inches,1.30 Pounds,/parts/mopar-tank-coolant-reserve~52027784.html
4,6502018,CLAMP Hose M28.9 x 1.60,,"2008, 1992-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,6104810AA,,available,18.35,12.82,1.5 x 1.4 x 0.6 inches,0.40 Pounds,/parts/mopar-clamp-hose~6502018.html
6,4763584,HOSE Coolant Reserve Tank,,1992-2002,,10 Cyl 8.0L,,,,,Radiator Outlet to Water Pump,discontinued,,,,,
6,4763877,HOSE Coolant Reserve Tank,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,High Pressure C/Bottle to Water Pump,unavailable,,,11.4 x 5.1 x 3.5 inches,0.80 Pounds,/parts/mopar-hose-coolant-reserve-tank~4763877.html
6,5245038,HOSE Coolant Reserve Tank,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,High Pressure Coolant,discontinued,,,,1.00 Pounds,/parts/mopar-tube-coolant-reserve-tank~5245038.html
7,4709389,BOTTLE Pressurized Coolant,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,13.6 x 11.9 x 7.6 inches,2.10 Pounds,/parts/mopar-bottle-pressurized-coolant~4709389.html
8,4596198,CAP Pressurized Coolant,,1997-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,5086226AA,,available,37.85,26.45,9.5 x 6.1 x 1.0 inches,0.60 Pounds,/parts/mopar-cap-radiator~4596198.html
9,5245039,TUBE Coolant Reserve Tank,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,20.1 x 4.1 x 2.4 inches,0.60 Pounds,/parts/mopar-tube-coolant-reserve-tank~5245039.html
10,4709381,CLIP Hose,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,2.8 x 1.6 x 0.3 inches,0.50 Pounds,/parts/mopar-clip-hose~4709381.html
11,4592126,CLAMP Hose,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,52079632AA,,,available,4.9,3.38,1.6 x 1.0 x 0.6 inches,0.50 Pounds,/parts/mopar-clamp-hose~4592126.html
