ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,MC36PAK,WHEEL Aluminum,,1992-1998,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,Rear Silver (WFS),discontinued,,,,34.30 Pounds,/parts/mopar-wheel-aluminum~mc36pak.html
1,QV40SZ2AB,WHEEL Aluminum,,1998,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,Front Polished Aluminum (WFL),discontinued,,,,26.30 Pounds,/parts/mopar-wheel-aluminum~qv40sz2ab.html
1,QV41SZ2AB,WHEEL Aluminum,,1998,"GTS Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,Rear Polished Aluminum (WFL),discontinued,,,,32.40 Pounds,/parts/mopar-wheel-aluminum~qv41sz2ab.html
1,SM08WD2AA,WHEEL Aluminum,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"Front with GT-2, 10x18 (WPE)",discontinued,,,24.2 x 11.4 x 24.4 inches,31.90 Pounds,/parts/mopar-wheel-aluminum~sm08wd2aa.html
1,SM09WD2AA,WHEEL Aluminum,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,"Rear with GT-2, 13x18 (WPE)",discontinued,,,24.4 x 11.3 x 24.7 inches,37.50 Pounds,/parts/mopar-wheel-aluminum~sm09wd2aa.html
2,6034958,NUT Hex .50-20,,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,24,1,,,,available,18.75,14.51,0.9 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-nut-hex~6034958.html
3,4854268AA,NUT Wheel,,1998-1999,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,12,1,,,,discontinued,,,4.2 x 1.6 x 1.0 inches,0.60 Pounds,/parts/mopar-nut-wheel~4854268aa.html
4,4708167,TOOL Wheel Cap Removal,,1992-1999,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,5.8 x 0.4 x 0.4 inches,1.80 Pounds,/parts/mopar-wrench-wheel-cap-removal~4708167.html
5,2073355,STEM Wheel Valve,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,4725934AA,,available,4.9,3.38,1.0 x 1.1 x 2.1 inches,0.40 Pounds,/parts/mopar-stem-wheel-valve~2073355.html
6,5013756AA,VALVE Shrader,,1998-1999,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,1.67,1.31,,0.50 Pounds,/parts/mopar-valve-shrader~5013756aa.html
