ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,SV531A9AB,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Bright Silver w/o ACR (Blue Stripes),discontinued,,,,91.70 Pounds,/parts/mopar-fascia-front~sv531a9ab.html
1,SV531RNAB,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Red Clear w/o ACR (Silver Stripes),discontinued,,,,,
1,SV531X3AB,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Black w/o ACR (Silver Stripes),discontinued,,,,,
1,SZ301A9AA,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Bright Silver (ACR) (Blue Stripes),discontinued,,,,,
1,SZ301RNAA,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Red Clear  (ACR) (Silver Stripes),discontinued,,,,,
1,SZ301X3AA,FASCIA Front [APV],,1999,"29; GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,Black (ACR) (Silver Stripes),discontinued,,,,,
2,5015296AA,FASCIA Front Primed [APA],,1999-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,,discontinued,,,76.9 x 23.5 x 23.1 inches,21.00 Pounds,/parts/mopar-fascia-front~5015296aa.html
9,6025335,SCREW,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,8,1,,,,discontinued,,,1.4 x 1.0 x 1.0 inches,0.70 Pounds,/parts/mopar-screw~6025335.html
10,6100515,NUT Hex Flange Lock M5,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,6501140,,available,7.55,5.24,0.4 x 0.4 x 0.3 inches,0.40 Pounds,/parts/mopar-nut-hex-flange-lock~6100515.html
11,4848613,PANEL Front Facsia,Left,"2002, 1992-2000","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,11.1 x 4.8 x 0.6 inches,0.50 Pounds,/parts/mopar-panel-front-facsia~4848613.html
12,6029074,U-NUT .25-20,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,10,1,,,,discontinued,,,1.2 x 0.6 x 0.5 inches,0.50 Pounds,/parts/mopar-nut~6029074.html
13,6102086AA,SCREW AND WASHER Hex Head M5x0.80x25.00,,"2008-2009, 1999-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",10,1,6507167AA,,,available,11,7.63,1.5 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6102086aa.html
16,5245443,SHIM Bumper Thin,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-shim-bumper~5245443.html
17,5245444,SHIM Bumper Thick,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.4 x 4.4 x 0.1 inches,0.90 Pounds,/parts/mopar-shim-bumper~5245444.html
19,4709049AB,HANDLE AND CABLE Hood Release,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,9.5 x 3.4 x 2.0 inches,1.40 Pounds,/parts/mopar-cable-hood-release~4709049ab.html
20,4709275,PAD Bulkhead Spacer,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,3.3 x 1.7 x 1.3 inches,0.80 Pounds,/parts/mopar-pad-bulkhead-spacer~4709275.html
,4763096,FOAM AND TAPE Fascia,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,51.0 x 8.2 x 7.9 inches,2.60 Pounds,/parts/mopar-absorber-fascia~4763096.html
,4708268,FRAME License Plate,,,,,,,,,,discontinued,,,,,
