ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4873102,SPRING Front Suspension Coil,,1997-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,,,available,174,124.71,14.7 x 3.8 x 3.8 inches,6.10 Pounds,/parts/mopar-spring-front-suspension-coil~4873102.html
4,4848641,SHOCK ABSORBER Suspension Front,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,18.5 x 6.1 x 4.6 inches,7.30 Pounds,/parts/mopar-absorber-suspension~4848641.html
5,6100969,BOLT Hex Flange Head M14x2.00x90,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,4.1 x 1.0 x 0.9 inches,0.70 Pounds,/parts/mopar-bolt-hex-flange-head~6100969.html
6,6502698,NUT Hex Flange Lock,,"2013-2017, 2008-2010, 1996-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,8.95,6.17,0.9 x 1.4 x 1.4 inches,0.50 Pounds,/parts/mopar-nut-hex-flange-lock~6502698.html
7,4404219,RETAINER Stabilizer Bar Grommet,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,4.0 x 2.0 x 1.9 inches,0.70 Pounds,/parts/mopar-cover-sway-bar~4404219.html
8,4848105,STABILIZER BAR Front,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,48.4 x 8.2 x 1.2 inches,7.90 Pounds,/parts/mopar-bar-frt-susp~4848105.html
9,4763147,LINK Sway Eliminator,,"2013, 2008-2009, 1992-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,68231477AA,,,available,335,240.09,10.2 x 1.8 x 1.9 inches,1.30 Pounds,/parts/mopar-link-stabilizer-bar~4763147.html
10,6502556,NUT Hex M10-1.5,,"2013-2017, 2008-2010, 1996-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.3,7.86,0.7 x 0.6 x 0.4 inches,0.50 Pounds,/parts/mopar-nut-hex~6502556.html
11,4643004,BUSHING Stabilizer Bar,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,2.2 x 1.8 x 1.6 inches,0.50 Pounds,/parts/mopar-bushing-stabilizer-bar~4643004.html
13,4709292,ARM Control,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,10.8 x 13.5 x 5.1 inches,5.80 Pounds,/parts/mopar-arm-control~4709292.html
14,6030099,FITTING Ball Joint Zirc,,"2013-2015, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,83507064AB,,,discontinued,,,0.6 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-fitting-ball-joint~6030099.html
15,52006404,SEAL Ball Joint,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,43.8,30.41,3.2 x 3.2 x 2.0 inches,0.50 Pounds,/parts/mopar-seal-ball-joint~52006404.html
16,4848049,BUSHING Control Arm,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,discontinued,,,1.0 x 1.0 x 1.0 inches,0.50 Pounds,/parts/mopar-bushing-control-arm~4848049.html
17,4014175,WASHER Control Arm Pivot,,,,,4,,,,,discontinued,,,,,
18,3815704,RETAINER Control Arm Bushing,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,discontinued,,,,,/parts/mopar-retainer-control-arm-bushing~3815704.html
19,6036048AA,NUT Hex Lock .562 - 18,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,discontinued,,,0.9 x 0.9 x 0.6 inches,0.80 Pounds,/parts/mopar-nut-hex-lock~6036048aa.html
21,120123,PIN Cotter,,"2013-2017, 2008-2010, 1996-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.1,5.65,2.0 x 0.5 x 0.4 inches,0.40 Pounds,/parts/mopar-pin-cotter~120123.html
22,6036048AA,NUT Hex Lock .562 - 18,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,discontinued,,,0.9 x 0.9 x 0.6 inches,0.80 Pounds,/parts/mopar-nut-hex-lock~6036048aa.html
