ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4763182,BEARING Suspension Trailing,,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,443,362.09,7.0 x 6.9 x 6.0 inches,11.00 Pounds,/parts/mopar-hub-suspension-trailing~4763182.html
2,4642122,ROTOR Brake,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,4642122AC,,,discontinued,,,,,/parts/mopar-rotor-brake~4642122.html
5,4709304,KNUCKLE Front,Right,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,,/parts/mopar-knuckle-front-axle~4709304.html
6,4720990,BLEEDER SCREW PKG BRAKE,,1992-2000,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.3 x 2.2 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-brake~4720990.html
7,4723573,CALIPER Disc Brake,Right,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,10.5 x 6.4 x 6.4 inches,11.90 Pounds,/parts/mopar-caliper-disc-brake~4723573.html
8,4897218AB,PAD KIT Front Disc Brake,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,7.1 x 5.5 x 1.0 inches,1.40 Pounds,/parts/mopar-pad-front-disc-brake~4897218ab.html
9,6101964,SCREW AND WASHER Hex Head M12x1.75x40,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,unavailable,,,1.9 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6101964.html
10,6033702,BOLT D Head .50-20x2.00,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,discontinued,,,2.3 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-stud-hub~6033702.html
11,6502136,BOLT Hex Flange Head M10x1.50x55,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,14.25,9.96,2.5 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-hex-flange-head~6502136.html
12,6502294,NUT Hex Flange M22x1.25,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,12.4,8.56,1.7 x 1.7 x 0.8 inches,1.40 Pounds,/parts/mopar-nut-hex-flange~6502294.html
,4848166,GASKET Front Wheel Bearing,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,12.0 x 8.1 x 0.5 inches,0.50 Pounds,/parts/mopar-gasket-front-wheel-bearing~4848166.html
,4723456,PISTON PACKAGE Disc Brake,,"2000-2002, 1992-1996","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,"Left [Piston,Boot,Seal]",discontinued,,,4.5 x 3.2 x 2.1 inches,0.60 Pounds,/parts/mopar-piston-disc-brake~4723456.html
,4723459,PLATE Brake Torque,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,8.37,6.58,3.3 x 2.3 x 0.7 inches,0.50 Pounds,/parts/mopar-plate-brake-torque~4723459.html
