ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4848839AA,PANEL Door Surround,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Left Paint As Required,discontinued,,,43.0 x 10.0 x 7.4 inches,15.70 Pounds,/parts/mopar-panel-door-surround~4848839aa.html
2,35022111,SPACER Fender 1.0,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.2 x 1.1 x 0.3 inches,0.40 Pounds,/parts/mopar-shim-fender~35022111.html
3,35022112,SPACER Fender 1.5,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.0 x 1.0 x 0.8 inches,0.50 Pounds,/parts/mopar-shim-fender~35022112.html
4,4848881AA,PLUG Body .75 Diameter,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,8,1,,,,discontinued,,,1.0 x 1.0 x 0.4 inches,0.40 Pounds,/parts/mopar-plug-body~4848881aa.html
5,4763641AE,PANEL Sill,Left,2001-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,69.7 x 12.7 x 11.8 inches,24.70 Pounds,/parts/mopar-sill-sill~4763641ae.html
9,6504580,SCREW Hex Flange Head Tapping M4.8x1.59x13,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,available,5,3.93,0.8 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-hex-flange-head-tapping~6504580.html
,5245545,CAP,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,Left Outer Rear,discontinued,,,7.1 x 7.0 x 1.4 inches,3.90 Pounds,/parts/mopar-cap~5245545.html
,4708429,CLADDING Front Sill Sill Cover Anti-Chip,Left,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-applique-front-sill~4708429.html
,4708021,LABEL Exhaust Warning,,1992-2003,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,,,discontinued,,,,0.50 Pounds,/parts/mopar-label-exhaust-warning~4708021.html
,4708022,LABEL Warning Bar,,"2008-2010, 2002-2006, 1992-1998","COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,,0.40 Pounds,/parts/mopar-label-sport-bar-warning~4708022.html
,6504580,SCREW Hex Flange Head Tapping M4.8x1.59x13,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,20,1,,,,available,5,3.93,0.8 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-screw-hex-flange-head-tapping~6504580.html
