ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4874371AB,SENSOR Throttle Position,,1998-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,2.0 x 1.8 x 1.6 inches,0.60 Pounds,/parts/mopar-sensor-throttle-position~4874371ab.html
2,4848416,SENSOR Crankshaft,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.6 x 3.4 x 1.8 inches,0.60 Pounds,/parts/mopar-sensor-crankshaft~4848416.html
4,5245084,SENSOR Camshaft,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,discontinued,,,,,/parts/mopar-sensor-camshaft~5245084.html
5,56029405,SENSOR MAP,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,272,196.66,2.8 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-sensor-map~56029405.html
6,56041212AE,SENSOR Oxygen,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,197,132.75,20.2 x 2.1 x 1.5 inches,0.60 Pounds,/parts/mopar-sensor-oxygen~56041212ae.html
7,56041212AF,SENSOR Oxygen,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,212,141.75,4.2 x 1.0 x 1.2 inches,0.60 Pounds,/parts/mopar-sensor-oxygen~56041212af.html
9,4848214,SENSOR Vehicle Speed,,"2004-2006, 1997-2002","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,discontinued,,,7.6 x 1.4 x 0.9 inches,1.30 Pounds,/parts/mopar-sensor-vehicle-speed~4848214.html
,6016152,CLIP,,"2008, 1998-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,,,/parts/mopar-retainer~6016152.html
,5245585,SHIELD Crank Position Sensor,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 2.8 x 2.2 inches,0.50 Pounds,/parts/mopar-shield-crank-position-sensor~5245585.html
,4746271,SOLENOID Transmission,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,68029168AA,,,available,388,256.45,6.6 x 5.2 x 4.1 inches,1.00 Pounds,/parts/mopar-solenoid-reverse-lockout~4746271.html
