ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4848135,KNOB Head Lamp Switch,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.8 x 2.6 x 1.9 inches,0.40 Pounds,/parts/mopar-knob-head-lamp-switch~4848135.html
2,4763135,SWITCH Headlamp,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 3.4 x 2.6 inches,0.60 Pounds,/parts/mopar-switch-headlamp~4763135.html
3,4848437,CLOCKSPRING,,1996-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,4848437AA,,,discontinued,,,5.2 x 5.2 x 3.1 inches,0.80 Pounds,/parts/mopar-clkspring~4848437.html
4,56021346,SWITCH Ignition,,"2001-2002, 1992-1999","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,56021346AB,,,available,315,212.63,5.6 x 4.2 x 3.1 inches,1.10 Pounds,/parts/mopar-manual-transmission-w-buzzer-halo~56021346.html
6,4728424,SWITCH Multifunction,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,8.7 x 5.3 x 3.9 inches,1.40 Pounds,/parts/mopar-switch-multifunction~4728424.html
7,4848934AA,SWITCH Passenger Airbag Disarm,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.8 x 3.4 x 2.6 inches,0.70 Pounds,/parts/mopar-switch-passenger-airbag-disarm~4848934aa.html
8,4671334,SWITCH Stop Lamp,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,68003916AA,,,available,51.8,36,3.3 x 2.3 x 1.8 inches,0.50 Pounds,/parts/mopar-switch-stop-lamp~4671334.html
9,53007944AB,SWITCH Clutch Starter Interlock,,"2008-2010, 1998-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,170,114.75,1.3 x 1.8 x 7.8 inches,0.50 Pounds,/parts/mopar-switch-clutch-starter-interlock~53007944ab.html
10,5245736,SWITCH Electric Back Light,,,,,,,,,,discontinued,,,,,
,6503845,SCREW Ignition Switch,,"2001-2002, 1997-1999","GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,5,1,,,,available,5.25,2.48,1.0 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-screw-ignition-switch~6503845.html
