ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,GC54WRR,DECAL Dodge Fascia,,1998-2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,[RN],discontinued,,,,0.50 Pounds,/parts/mopar-decal~gc54wrr.html
1,GC54WYT,DECAL Dodge Fascia,,2001-2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,[YR],discontinued,,,13.3 x 5.2 x 0.3 inches,0.40 Pounds,/parts/mopar-decal~gc54wyt.html
1,GC54ZDR,DECAL Dodge Fascia,,2002,"27; GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,[DR],discontinued,,,12.7 x 3.2 x 0.1 inches,0.40 Pounds,/parts/mopar-decal~gc54zdr.html
2,GC43WYT,DECAL Viper R/T 10 Fascia,,2001-2002,RT/10 Convertible,10 Cyl 8.0L,,,,,[YR],discontinued,,,9.2 x 6.4 x 0.3 inches,0.50 Pounds,/parts/mopar-decal-viper-r-t-10~gc43wyt.html
2,GC43ZDR,DECAL Viper R/T 10 Fascia,,2002,RT/10 Convertible,10 Cyl 8.0L,,,,,[DR],discontinued,,,10.2 x 6.1 x 0.3 inches,0.50 Pounds,/parts/mopar-decal-viper-r-t-10~gc43zdr.html
3,MB59WRR,DECAL VIPER GTS Fascia,,1998-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,[RN],discontinued,,,,,/parts/mopar-decal-viper-gts~mb59wrr.html
3,MB59WYT,DECAL VIPER GTS Fascia,,2001-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,[YR],discontinued,,,12.1 x 6.2 x 0.3 inches,0.50 Pounds,/parts/mopar-decal-viper-gts~mb59wyt.html
3,MB59ZDR,DECAL VIPER GTS Fascia,,2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,,,,,[DR],discontinued,,,9.5 x 3.1 x 0.3 inches,0.50 Pounds,/parts/mopar-decal-viper-gts~mb59zdr.html
4,GC53WYT,DECAL Viper R/T 10 Hood,,2001-2002,RT/10 Convertible,10 Cyl 8.0L,2,1,,,[KCY],discontinued,,,19.3 x 3.8 x 3.7 inches,0.50 Pounds,/parts/mopar-decal~gc53wyt.html
5,MB61WYT,DECAL VIPER GTS Hood,,2001-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,2,1,,,[KCY],discontinued,,,18.4 x 4.2 x 3.6 inches,0.50 Pounds,/parts/mopar-decal-viper-gts~mb61wyt.html
6,SZ22GX9AA,DECAL Hood ACR,,2001-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,2,1,,,[KAX],discontinued,,,,,/parts/mopar-decal-hood~sz22gx9aa.html
