ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
2,4848850AC,COVER Antenna Opening,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,20.0 x 5.1 x 1.8 inches,0.80 Pounds,/parts/mopar-shield-antenna-opening~4848850ac.html
4,SL12WUCAA,GRILLE Speaker,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,Cognac,discontinued,,,13.1 x 12.8 x 0.7 inches,0.70 Pounds,/parts/mopar-grille-speaker~sl12wucaa.html
6,4848147,GRILLE Speaker,,,,,,,,,,discontinued,,,,,
8,0153749,SCREW .164-15x.750,,,,,6,,,,,discontinued,,,,,
10,4848139,BRACKET Amplifier Retainer,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,6.3 x 1.2 x 0.1 inches,0.50 Pounds,/parts/mopar-bracket-amplifier-retainer~4848139.html
11,6100557,BOLT AND CONED WASHER Hex Head M6x20x14,,"2004-2006, 1992-2002","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,,,available,9.2,6.41,1.0 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6100557.html
12,4848137,BRACKET Amplifier,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,13.9 x 12.0 x 4.1 inches,2.30 Pounds,/parts/mopar-bracket-amplifier~4848137.html
13,34201358,NUT AND WASHER Hex Nut-Sealing Washer M6 x 1.00,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,6101444,,available,13.9,9.67,1.0 x 1.0 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-hex-nut-sealing-washer~34201358.html
17,4709109,BOX Antenna Amplifier,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,3.7 x 3.6 x 1.5 inches,0.50 Pounds,/parts/mopar-control-antenna-amplifier~4709109.html
,4865432AA,CABLE AND GROMMET ANTENNA,,1999-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,0.9 x 0.9 x 7.5 inches,0.40 Pounds,/parts/mopar-cable-oth-antenna~4865432aa.html
,4709110,CABLE Amplifier Box,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,1.8 x 2.9 x 1.1 inches,0.40 Pounds,/parts/mopar-cable-amplifier-box~4709110.html
,4709112,GROMMET Antenna Amplifier,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,0.9 x 0.9 x 0.4 inches,0.50 Pounds,/parts/mopar-grommet-antenna-amplifier~4709112.html
,4848082,HOLDER Fuse,,1997-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,available,1.95,1.53,5.8 x 4.1 x 1.8 inches,0.50 Pounds,/parts/mopar-holder-fuse~4848082.html
,4854436AA,PLATE Speaker,,1999-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,4,1,,,,available,2.4,1.89,4.6 x 4.7 x 1.5 inches,0.40 Pounds,/parts/mopar-plate-speaker~4854436aa.html
