ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,MB86SX9,SEAT BELT Front,,,,,2,,,,,discontinued,,,,,
2,6034383,SCREW Pan Head .437-20x1.5,,"2014-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,10.15,7.05,1.8 x 0.8 x 0.8 inches,0.70 Pounds,/parts/mopar-screw-pan-head~6034383.html
3,4708494,SPACER Seat Belt Retainer,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,4,1,,,,available,1.78,1.4,1.0 x 1.0 x 0.4 inches,0.60 Pounds,/parts/mopar-shim-seat-belt-retainer~4708494.html
4,6036512AA,SCREW Pan Head .437-20x1.375,,"2013-2017, 2008-2010, 2002-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.7,6.86,1.6 x 1.1 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-pan-head~6036512aa.html
5,4848718,SEAT BELT Buckle Half,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,12.4 x 2.1 x 2.1 inches,0.80 Pounds,/parts/mopar-seat-belt-buckle-half~4848718.html
6,6034389,SCREW Pan Head Shoulder .437-20x1.87,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,,0.50 Pounds,/parts/mopar-bolt-pan-head-shoulder~6034389.html
7,6036185AA,SPACER,,2000-2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,4,1,,,,discontinued,,,0.7 x 0.7 x 0.1 inches,0.70 Pounds,/parts/mopar-spacer~6036185aa.html
8,4854439AA,SEAT BELT Front,,,,,,,,,Left 5-Point Seat Belt Harness,discontinued,,,,,
9,6036511AA,SCREW Pan Head .437-20x1.875,,2002,"GTS Coupe, GTS-L Coupe",10 Cyl 8.0L,4,1,,,,discontinued,,,,,/parts/mopar-screw-pan-head-437-20x1-875~6036511aa.html
,5018505AA,EXTENDER Seat Belt,,2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,available,129,86.52,10.4 x 3.6 x 1.6 inches,0.90 Pounds,/parts/mopar-extender-seat-belt~5018505aa.html
