ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4848716,HUB AND BEARING Brake,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,1020,666.6,7.0 x 6.8 x 6.1 inches,11.80 Pounds,/parts/mopar-hub-brake~4848716.html
2,6033702,BOLT D Head .50-20x2.00,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,discontinued,,,2.3 x 0.9 x 0.8 inches,0.50 Pounds,/parts/mopar-stud-hub~6033702.html
3,6035642,SCREW AND WASHER Hex Head Locking .50-20x2.25 Grade 8,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,2.6 x 1.0 x 0.9 inches,0.60 Pounds,/parts/mopar-screw-hex-head-locking~6035642.html
4,4642353,ROTOR Brake,,1992-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,2,1,,,,discontinued,,,13.3 x 13.6 x 1.8 inches,16.70 Pounds,/parts/mopar-rotor-brake~4642353.html
5,6500336,PIN Cotter M5x36.00,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,6.75,4.9,2.2 x 0.3 x 0.2 inches,0.40 Pounds,/parts/mopar-pin-cotter~6500336.html
6,6502293,WASHER Flat M23x43x4,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.15,5.59,1.8 x 1.7 x 0.2 inches,0.50 Pounds,/parts/mopar-washer-flat~6502293.html
7,4293167,NUT AND WASHER PACKAGE Front Hub,,"2013, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,4293167AB,,,available,25.75,17.94,2.4 x 2.1 x 1.1 inches,0.40 Pounds,/parts/mopar-lk-nutpkg~4293167.html
8,6502294,NUT Hex Flange M22x1.25,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,12.4,8.56,1.7 x 1.7 x 0.8 inches,1.40 Pounds,/parts/mopar-nut-hex-flange~6502294.html
9,5290021AA,KNUCKLE Rear,Left,,,,,,,,,discontinued,,,,,
10,5066483AA,CALIPER Disc Brake Rear,Left,2001-2002,"GTS Coupe, GTS-L Coupe, RT/10 Convertible",10 Cyl 8.0L,,,,,,discontinued,,,7.5 x 6.6 x 6.7 inches,7.00 Pounds,/parts/mopar-caliper-disc-brake~5066483aa.html
