ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5029168AB,HANDLE AND LATCH Folding Top,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,5029168AC,,,available,1300,1100.62,6.8 x 4.2 x 4.1 inches,2.90 Pounds,/parts/mopar-handle-folding-top~5029168ab.html
2,6507337AA,BOLT M6x25,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,12.1,8.45,1.0 x 0.4 x 0.4 inches,0.80 Pounds,/parts/mopar-bolt~6507337aa.html
3,5029157AB,PIN Dowel,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,5029157AC,,,available,86,58.66,6.1 x 6.4 x 6.2 inches,1.30 Pounds,/parts/mopar-pin-dowel~5029157ab.html
4,4865936AC,LATCH AND BASE Folding Top,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,4865936AD,,,available,79.35,54,8.0 x 2.4 x 2.4 inches,1.00 Pounds,/parts/mopar-latch-folding-top~4865936ac.html
5,4865781AA,STUD PLATE Convertible Top Tack Strip Mounting,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",12,1,,,,discontinued,,,1.1 x 1.0 x 1.1 inches,0.70 Pounds,/parts/mopar-plate-convertible-top-tack-strip~4865781aa.html
6,5029082AC,COVER Folding Top,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,,,,discontinued,,,51.5 x 21.0 x 4.2 inches,7.30 Pounds,/parts/mopar-top-folding-top~5029082ac.html
7,4865571AC,RETAINER Weatherstrip,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Folding Top Front Side Rail,available,195,157.5,14.1 x 4.8 x 4.6 inches,0.80 Pounds,/parts/mopar-retainer-weatherstrip~4865571ac.html
8,4865573AC,RETAINER Weatherstrip,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Top Rear Side Rail,available,245,202.5,14.3 x 8.2 x 6.1 inches,1.00 Pounds,/parts/mopar-retainer-weatherstrip~4865573ac.html
10,5093071AA,CABLE,,2003,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,2,1,,,,available,180,79.37,5.9 x 5.2 x 0.5 inches,0.50 Pounds,/parts/mopar-cable-folding-top-cover-tension~5093071aa.html
11,5029135AC,SIDE RAIL Folding Top,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,,,Left Linkage,discontinued,,,25.4 x 12.7 x 6.2 inches,6.40 Pounds,/parts/mopar-side-rail-folding-top~5029135ac.html
