ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4638094,RELAY PACKAGE Electrical,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,4727370AA,,,available,39.9,27.67,1.4 x 1.3 x 1.7 inches,0.50 Pounds,/parts/mopar-relay-electrical~4638094.html
2,5269988AA,RELAY Mini,,"2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",9,1,68382350AA,,,available,20.75,15.26,0.9 x 1.2 x 1.7 inches,0.40 Pounds,/parts/mopar-relay-micro~5269988aa.html
3,ATM10,"FUSE Mini 10 AMP, Red",,"2013-2017, 2008-2010, 2000-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"68124782AA, 68110976AA, 6101486",,available,3.7,2.5,0.5 x 0.7 x 0.8 inches,0.40 Pounds,/parts/mopar-fuse-mini~atm10.html
4,ATM15,"FUSE Mini 15 AMP, Light Blue",,"2013-2017, 2001-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",9,1,,"6101487, 68124784AA, 68110975AA",,available,3.55,2.39,0.4 x 0.8 x 0.9 inches,0.40 Pounds,/parts/mopar-fuse-mini~atm15.html
5,ATM20,"FUSE Mini 20 AMP, Yellow",,"2013-2017, 2001-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",7,1,,"6101488, 68124785AA",,available,3.7,2.5,0.5 x 0.7 x 0.8 inches,0.40 Pounds,/parts/mopar-fuse-mini~atm20.html
6,6102075AA,FUSE CARTRIDGE 20 Amp,,"2013-2015, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,6102075AB,,,available,9.45,6.52,1.4 x 0.8 x 0.7 inches,0.50 Pounds,/parts/mopar-fuse~6102075aa.html
7,6102076AA,FUSE CARTRIDGE 30 Amp,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,5,1,4868007AB,,,available,8.05,5.48,0.7 x 0.8 x 1.3 inches,0.50 Pounds,/parts/mopar-fuse-cartridge-30-amp~6102076aa.html
8,6102077AA,FUSE CARTRIDGE 40 Amp,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,4,1,4868008AB,,,available,7.8,5.3,0.7 x 0.8 x 1.3 inches,0.40 Pounds,/parts/mopar-fuse~6102077aa.html
,5029294AB,BRACKET Power Distribution Center,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,5029294AD,,,discontinued,,,7.0 x 6.7 x 4.8 inches,1.20 Pounds,/parts/mopar-bracket-power-distribution-center~5029294ab.html
,5114019AA,COVER Power Distribution Center,,2003-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,11.1 x 3.3 x 2.0 inches,0.60 Pounds,/parts/mopar-cover-power-distribution-center~5114019aa.html
,6101757,FUSIBLE LINK,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,18.2,12.64,0.9 x 1.1 x 1.9 inches,0.40 Pounds,/parts/mopar-fuse~6101757.html
,5029117AD,SHIELD Wiring,,2003,SRT-10 Convertible,10 Cyl 8.3L,,,,,,discontinued,,,15.5 x 10.3 x 3.8 inches,1.30 Pounds,/parts/mopar-shield-wiring~5029117ad.html
