ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
2,TS04DX9AB,PANEL Bulkhead Trim,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,Deluxe Model,available,3800,3135,63.4 x 41.4 x 11.8 inches,19.20 Pounds,/parts/mopar-panel-bulkhead-trim~ts04dx9ab.html
4,TS39DX9AB,SPORT HOOP Bulkhead,Left,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,11.4 x 11.2 x 4.4 inches,2.90 Pounds,/parts/mopar-hoop-bulkhead~ts39dx9ab.html
5,6031869,NUT Push .19,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,0.8 x 0.7 x 0.6 inches,0.50 Pounds,/parts/mopar-grommet-push~6031869.html
6,TS04DX9AB,PANEL Bulkhead Trim,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,3800,3135,63.4 x 41.4 x 11.8 inches,19.20 Pounds,/parts/mopar-panel-bulkhead-trim~ts04dx9ab.html
7,6101722,SCREW AND WASHER Hex Head M8x1.25x60,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,6.8,4.72,2.6 x 0.8 x 0.8 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6101722.html
8,6102103AA,SCREW AND WASHER Hex Head M6x1x20,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,1.1 x 0.8 x 0.9 inches,0.60 Pounds,/parts/mopar-screw-hex-head~6102103aa.html
9,6032058,NUT Snap In,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,0.8 x 0.3 x 0.3 inches,0.70 Pounds,/parts/mopar-nut-snap-in~6032058.html
10,6032058,NUT Snap In,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,0.8 x 0.3 x 0.3 inches,0.70 Pounds,/parts/mopar-nut-snap-in~6032058.html
,5093777AA,NUT U,,2003,SRT-10 Convertible,10 Cyl 8.3L,8,1,,,,available,1.5,0.87,0.5 x 0.4 x 0.2 inches,0.90 Pounds,/parts/mopar-nut-u~5093777aa.html
,5029290AA,PLATE Child Tether Anchor,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.1 x 1.3 x 0.7 inches,0.50 Pounds,/parts/mopar-plate-child-tether-anchor~5029290aa.html
,5093846AA,SCREW,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,4,1,,,,available,,1.28,0.5 x 0.3 x 0.3 inches,0.80 Pounds,/parts/mopar-screw~5093846aa.html
