ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5104889AA,GEAR Power Steering,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,discontinued,,,63.3 x 10.4 x 6.6 inches,20.80 Pounds,/parts/mopar-gear-power-steering~5104889aa.html
2,5290168AA,END Tie Rod,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,5290168AC,,,available,54,45.26,6.1 x 1.8 x 4.6 inches,1.80 Pounds,/parts/mopar-tie-rod-tie-rod~5290168aa.html
3,5104685AA,JAM NUT Outer Tie Rod,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,2.42,1.9,1.0 x 1.0 x 0.4 inches,0.70 Pounds,/parts/mopar-nut-outer-tie-rod~5104685aa.html
4,6506557AA,NUT AND WASHER,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,6.7,4.6,1.4 x 1.4 x 1.0 inches,0.50 Pounds,/parts/mopar-nut-hex-lock~6506557aa.html
5,120123,PIN Cotter,,"2013-2017, 2008-2010, 1996-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.1,5.65,2.0 x 0.5 x 0.4 inches,0.40 Pounds,/parts/mopar-pin-cotter~120123.html
6,6033181,BOLT Hex Head .625-11x3.75,,1992-2006,"GTS Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",2,1,,,,available,12.4,4.55,9.5 x 9.5 x 4.2 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6033181.html
7,6034710,WASHER Flat,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,4.5,3.79,2.0 x 1.9 x 0.1 inches,0.50 Pounds,/parts/mopar-washer-flat~6034710.html
8,4642116,ISOLATOR Steering Gear,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,1.3 x 1.7 x 1.3 inches,0.60 Pounds,/parts/mopar-insulator-steering-gear~4642116.html
9,4708035,O RING Steering Gear,,"2013, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT GTS, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,4708035AB,,,available,4.5,2.62,1.7 x 1.7 x 0.1 inches,0.50 Pounds,/parts/mopar-o-ring-steering-gear~4708035.html
10,4117796,NUT Pivot Arm,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,2.4 x 1.2 x 0.7 inches,1.20 Pounds,/parts/mopar-nut-pivot-arm~4117796.html
