ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5093237AA,HOUSING A/C And Heater,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,discontinued,,,34.5 x 21.8 x 15.3 inches,12.80 Pounds,/parts/mopar-housing-a-c-and-heater~5093237aa.html
4,5093244AA,HOUSING Air Inlet,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,13.1 x 12.9 x 12.6 inches,2.80 Pounds,/parts/mopar-housing-air-inlet~5093244aa.html
5,5019631AA,SERVO A/C Temperature Door,,2003-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,4,1,,,,unavailable,,,1.9 x 3.5 x 4.3 inches,0.70 Pounds,/parts/mopar-servp-a-c-temperature-door~5019631aa.html
7,5093245AA,SEAL KIT A/C And Heater Unit,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5093245AC,,,available,53.25,37.22,15.4 x 14.4 x 3.7 inches,1.20 Pounds,/parts/mopar-seal-pkg-a-c-and-heater-unit~5093245aa.html
8,5093246AA,EVAPORATOR Air Conditioning,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,417,337.85,12.6 x 12.3 x 10.0 inches,5.00 Pounds,/parts/mopar-evaporato-air-conditioning~5093246aa.html
11,5093247AA,CORE Heater,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5093247AB,,,available,206,162.43,12.5 x 12.6 x 8.9 inches,2.40 Pounds,/parts/mopar-core-heater~5093247aa.html
12,4720533,SCREW Heater Housing,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,6,4.08,0.7 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-screw~4720533.html
13,5093248AA,MOTOR Blower with Wheel,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,discontinued,,,12.6 x 13.1 x 8.8 inches,5.30 Pounds,/parts/mopar-motor-blower-with-wheel~5093248aa.html
15,5014212AA,RESISTOR Blower Motor,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,238,106.68,8.4 x 6.1 x 5.0 inches,0.90 Pounds,/parts/mopar-resistor-blower-motor~5014212aa.html
16,5029672AA,WIRING A/C and HEATER,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,4865886AA,,available,189,126,12.4 x 8.7 x 7.4 inches,2.00 Pounds,/parts/mopar-wiring-a-c-and-heater~5029672aa.html
,5029345AA,BRACKET A/C Drain Tube,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,discontinued,,,2.7 x 2.0 x 1.4 inches,0.70 Pounds,/parts/mopar-bracket-a-c-drain-tube~5029345aa.html
,2837680,CLAMP Blower Motor Wheel,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,2.35,1.31,0.6 x 0.5 x 0.4 inches,0.60 Pounds,/parts/mopar-clamp-blower-motor-wheel~2837680.html
,5104821AA,DRAIN KIT A/C and Heater,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,37.8,31.4,7.3 x 5.7 x 4.9 inches,0.80 Pounds,/parts/mopar-drain-a-c-and-heater~5104821aa.html
,4720533,SCREW Heater Housing,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,available,6,4.08,0.7 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-screw~4720533.html
,6504909AA,STUD,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,5.4,3.67,1.3 x 0.2 x 0.2 inches,0.50 Pounds,/parts/mopar-stud~6504909aa.html
,6101442,U-NUT M6 x 1.00 M6x1.00,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.9,6.17,1.2 x 0.8 x 0.7 inches,0.40 Pounds,/parts/mopar-nut-m6-x-1-00~6101442.html
