ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4865830AB,BRACKET Sill To Fender,,"2008-2009, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,4865830AC,,,available,1130,936.77,12.2 x 11.8 x 12.7 inches,0.80 Pounds,/parts/mopar-bracket-sill-to-fender~4865830ab.html
2,6034645,RIVET .25 Grip-.06-.25,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",6,1,,,,available,12.7,8.8,3.1 x 0.6 x 0.3 inches,0.50 Pounds,/parts/mopar-retainer~6034645.html
3,4865637AB,SUPPORT Fender,Left,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,4865637AI,,,available,1380,1169.55,67.7 x 24.9 x 21.5 inches,7.60 Pounds,/parts/mopar-support-fender~4865637ab.html
4,TP57RXFAC,FRAME Windshield Surround,,2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,TP57RXFAE,,,available,4250,3604.7,,33.80 Pounds,/parts/mopar-frame-windshield-surround~tp57rxfac.html
5,6507167AA,SCREW [M5x0.8x28.0],,"2014-2017, 2008-2010, 1999-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,6102086AA,,available,11,7.63,1.4 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6507167aa.html
7,5029103AC,FENDER Front,,2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,5029103AF,,Left Service Dealer Painted,available,1750,1463.35,48.8 x 29.7 x 8.5 inches,15.40 Pounds,/parts/mopar-fender-front~5029103ac.html
8,6504118,U-NUT M6 x 1.00 M6x1.00,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,14.4,10.02,0.9 x 0.9 x 0.5 inches,0.40 Pounds,/parts/mopar-nut-m6-x-1-00~6504118.html
9,6035625,SCREW [.190-16x.750],,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,18,12.52,0.8 x 0.6 x 0.6 inches,0.50 Pounds,/parts/mopar-screw-tapping~6035625.html
10,6036568AA,SCREW [.164-18x.780],,2004-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,6,1,,,,available,8.85,5.24,,,/parts/mopar-screw~6036568aa.html
11,6036568AA,SCREW [.164-18x.780],,2004-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,2,1,,,,available,8.85,5.24,,,/parts/mopar-screw~6036568aa.html
