ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,4608505AC,SWITCH Mirror,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,10.8 x 2.9 x 1.1 inches,0.50 Pounds,/parts/mopar-switch-mirror~4608505ac.html
3,4687594AB,SWITCH Underhood,,"2008-2010, 2003-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.7 x 1.8 x 1.9 inches,0.40 Pounds,/parts/mopar-switch-underhood~4687594ab.html
4,4685435,SWITCH Console,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,4.2 x 3.1 x 2.0 inches,0.50 Pounds,/parts/mopar-switch-power-door~4685435.html
,5083970AA,BEZEL Switch,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.4 x 2.1 x 0.8 inches,0.40 Pounds,/parts/mopar-bezel-switch~5083970aa.html
,5093227AA,HOUSING Switch,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.9 x 2.3 x 1.1 inches,0.40 Pounds,/parts/mopar-housing-switch~5093227aa.html
,4608633AD,SWITCH Console,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,4608633AC,,discontinued,,,3.7 x 2.6 x 1.9 inches,0.50 Pounds,/parts/mopar-switch-folding-top~4608633ad.html
,4865870AB,SWITCH Door Handle,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.7 x 2.5 x 1.9 inches,0.50 Pounds,/parts/mopar-switch-door-handle~4865870ab.html
,4685841AB,SWITCH Door Lock,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,29.25,23.88,2.7 x 1.8 x 2.8 inches,0.40 Pounds,/parts/mopar-switch-door-lock~4685841ab.html
,5029677AA,SWITCH Outside Door Handle,,"2013-2015, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,7.1 x 1.3 x 0.8 inches,0.50 Pounds,/parts/mopar-switch-outside-door-handle~5029677aa.html
,4865875AA,SWITCH Passenger Airbag Disarm,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.1 x 3.2 x 2.6 inches,0.50 Pounds,/parts/mopar-switch-passenger-airbag-disarm~4865875aa.html
