ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5290161AD,SHIELD Heat,,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Sill Inner,available,366,295.54,53.6 x 13.0 x 4.8 inches,3.00 Pounds,/parts/mopar-shield-exhaust~5290161ad.html
3,5290256AB,SHIELD Fuel Tank Heat,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,available,180,159.17,31.2 x 9.3 x 2.1 inches,1.10 Pounds,/parts/mopar-shield-fuel-tank-heat~5290256ab.html
5,6031694,SCREW AND WASHER Hex Head .164-18x1.0,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",8,1,,,,discontinued,,,1.1 x 0.6 x 0.6 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6031694.html
7,5290149AC,SHIELD Heat,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Torque Box,available,38.8,31.75,12.4 x 10.2 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-heat~5290149ac.html
8,5290231AB,SHIELD Heat,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,Left B-Pillar,available,22.2,10.45,11.3 x 8.2 x 0.2 inches,0.60 Pounds,/parts/mopar-shield-heat~5290231ab.html
,152493,NUT U nut 1` thread size,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,3.55,2.45,1.0 x 0.6 x 0.2 inches,0.40 Pounds,/parts/mopar-nut~152493.html
,6102132AA,SCREW Hex Head M6x1x20,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,5.5,3.73,1.1 x 0.9 x 0.6 inches,1.90 Pounds,/parts/mopar-screw-hex-head~6102132aa.html
,5037245AB,SHIELD Exhaust Manifold,,2004-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,2,1,5037245AC,,,available,329,150.11,14.8 x 9.1 x 2.3 inches,1.30 Pounds,/parts/mopar-shield-exhaust-manifold~5037245ab.html
,5290088AD,SHIELD Fuel Tank Heat,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5290088AC,,available,109,89.27,29.9 x 27.9 x 3.2 inches,2.40 Pounds,/parts/mopar-shield-fuel-tank-heat~5290088ad.html
,5290328AA,SHIELD Heat,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,2,1,5290328AC,,,available,6.15,5.13,5.6 x 3.7 x 0.4 inches,0.40 Pounds,/parts/mopar-shield-heat~5290328aa.html
,5290364AA,SHIELD Heat,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,2,1,5290364AC,,A-Pillar Isolator,available,7.8,5.13,6.1 x 4.2 x 0.3 inches,0.60 Pounds,/parts/mopar-shield-heat~5290364aa.html
,5290325AA,SHIELD Heat Adhesive,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left 8 Inch x 20 Inch Patch,available,47.55,40.74,14.3 x 6.8 x 0.2 inches,0.80 Pounds,/parts/mopar-shield-exhaust~5290325aa.html
