ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5290801AB,FILTER Fuel,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,15.8 x 3.7 x 3.5 inches,1.10 Pounds,/parts/mopar-filter-fuel~5290801ab.html
2,6101447,NUT AND WASHER M6x1.00,,"2013-2017, 2008-2010, 2003-2006, 1999-2000","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,8.55,5.94,0.8 x 0.8 x 0.6 inches,0.40 Pounds,/parts/mopar-nut~6101447.html
3,5290105AB,TUBE Fuel Vapor,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5290105AD,,,available,547,373.92,71.4 x 8.4 x 6.3 inches,0.90 Pounds,/parts/mopar-tube-fuel-vapor~5290105ab.html
4,5290104AE,TUBE Fuel Supply,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5290104AG,,Chassis Line,available,1125,738.1,61.8 x 14.3 x 6.3 inches,1.20 Pounds,/parts/mopar-tube-fuel-supply~5290104ae.html
5,5290106AC,TUBE Vacuum,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5290106AE,,,available,547,360.8,72.2 x 16.4 x 2.6 inches,0.50 Pounds,/parts/mopar-tube-vacuum~5290106ac.html
6,5085043AA,CLIP Fuel Bundle,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",5,1,,,,available,12.75,8.84,3.7 x 1.0 x 0.8 inches,0.40 Pounds,/parts/mopar-clip-fuel-bundle~5085043aa.html
7,5290103AC,TUBE Brake,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,51,34.95,75.5 x 12.8 x 4.8 inches,0.90 Pounds,/parts/mopar-tube-brake~5290103ac.html
8,5290153AA,TUBE Leak Detection Pump Vacuum Supply,,"2013-2017, 2008-2010, 2003-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,10.6 x 6.5 x 5.0 inches,0.50 Pounds,/parts/mopar-harness-leak-detection-pump-vacuum~5290153aa.html
9,5290098AE,HARNESS Engine to Purge Solenoid,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,"5290098AC, 5290098AD",,discontinued,,,18.2 x 7.5 x 4.5 inches,0.70 Pounds,/parts/mopar-harness-engine-to-purge-solenoid~5290098ae.html
,6101682,BOLT AND CONED WASHER Hex head M6X1.00X20.00,,2004-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,available,,14.51,1.0 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-bolt-hex-head~6101682.html
