ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,UB641X9AE,SEAT BELT Front,,2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,1BD961X9AA,,,available,210,170.33,7.0 x 6.2 x 6.1 inches,3.30 Pounds,/parts/mopar-seatbelt-front~ub641x9ae.html
2,5029126AB,TURNING LOOP Seat Belt,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,5029126AD,,,available,37.1,32.39,8.1 x 7.3 x 2.5 inches,1.20 Pounds,/parts/mopar-loop-seat-belt~5029126ab.html
3,6101758,SCREW Hex Head M8x1.25x20,,2003-2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,4,1,6508738AA,,,available,7.75,5.36,0.1 x 0.1 x 0.1 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6101758.html
4,5029127AB,TURNING LOOP Seat Belt,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,5029127AD,,,available,52.1,36.41,7.0 x 3.6 x 1.7 inches,0.80 Pounds,/parts/mopar-loop-seat-belt~5029127ab.html
5,UB651X9AE,SEAT BELT Front,,2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,UB651X9AF,,,available,165,135.36,6.5 x 6.4 x 6.3 inches,3.70 Pounds,/parts/mopar-seatbelt-front~ub651x9ae.html
6,6503571,SCREW AND WASHER M10x1.50x35,,"2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,6502467,,,available,11.15,7.75,0.8 x 0.6 x 0.5 inches,0.50 Pounds,/parts/mopar-screw~6503571.html
7,6036512AA,SCREW Pan Head .437-20x1.375,,"2013-2017, 2008-2010, 2002-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.7,6.86,1.6 x 1.1 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-pan-head~6036512aa.html
8,6100583,BOLT AND CONED WASHER Hex Head M8x25x20,,"2008-2010, 1993-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,,14.51,1.2 x 0.7 x 0.7 inches,0.40 Pounds,/parts/mopar-screw-hex-head~6100583.html
9,5029290AA,PLATE Child Tether Anchor,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,3.1 x 1.3 x 0.7 inches,0.50 Pounds,/parts/mopar-plate-child-tether-anchor~5029290aa.html
10,TQ881X9AC,SEAT BELT Buckle Half,,"2008-2010, 2003-2006","SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"XN611X9AA, XN611BNAA",,discontinued,,,9.6 x 2.1 x 1.2 inches,0.80 Pounds,/parts/mopar-seat-belt-buckle-half~tq881x9ac.html
11,6036547AA,SCREW,,"2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,1.45,0.99,1.2 x 0.6 x 0.6 inches,0.80 Pounds,/parts/mopar-screw-hex-head~6036547aa.html
,XN611X9AA,BUCKLE,,2003-2004,SRT-10 Convertible,10 Cyl 8.3L,,,TQ881X9AC,,,available,42.15,35.18,10.0 x 2.0 x 1.7 inches,1.00 Pounds,/parts/mopar-buckle~xn611x9aa.html
,5093280AB,BUTTON BELT WEBBING,,2004-2005,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,5093280AC,,,available,32.5,22.72,0.9 x 0.9 x 0.7 inches,0.40 Pounds,/parts/mopar-button-belt-webbing~5093280ab.html
,5086227AA,EXTENDER Seat Belt,,2003-2004,"COMP. Coupe, SRT-10 Convertible",10 Cyl 8.3L,,,,,,available,58.5,40.89,1.9 x 2.4 x 6.8 inches,0.70 Pounds,/parts/mopar-extender-seat-belt~5086227aa.html
