ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,TP57RXFAE,FRAME Windshield Surround,,"2008-2010, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,"TP57RXFAB, TP57RXFAC, TP57RXFAD",,discontinued,,,,32.20 Pounds,/parts/mopar-frame-windshield~tp57rxfae.html
3,6503351,SCREW AND WASHER Hex Head M8x1.25x35,,"2013-2017, 2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",10,1,,,,discontinued,,,1.7 x 1.0 x 1.0 inches,0.90 Pounds,/parts/mopar-screw-hex-head~6503351.html
4,35022112,SPACER Fender 1.5,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.0 x 1.0 x 0.8 inches,0.50 Pounds,/parts/mopar-shim-fender~35022112.html
5,35022111,SPACER Fender 1.0,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,1.2 x 1.1 x 0.3 inches,0.40 Pounds,/parts/mopar-shim-fender~35022111.html
6,4865495AD,PANEL Dash,,2005-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,4865495AF,,,available,2307.43,1564.44,,36.00 Pounds,/parts/mopar-panel-dash~4865495ad.html
7,6507167AA,SCREW [M5x0.8x28.0],,"2014-2017, 2008-2010, 1999-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,6102086AA,,available,11,7.63,1.4 x 0.9 x 0.9 inches,0.50 Pounds,/parts/mopar-screw-hex-head~6507167aa.html
8,6101809,NUT AND WASHER Hex M8x1.25,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,34201918,Brace to Instrument Panel,available,7.95,5.53,0.8 x 0.8 x 0.4 inches,0.70 Pounds,/parts/mopar-nut-hex~6101809.html
9,5029189AA,BRACKET Dash,,"2014-2017, 2010, 2008, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,Left Front of Dash,discontinued,,,6.8 x 5.8 x 2.4 inches,1.00 Pounds,/parts/mopar-bracket-dash~5029189aa.html
10,TP61RXFAA,DOWEL Windshield Surround,Left,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,4.4 x 1.8 x 1.5 inches,0.50 Pounds,/parts/mopar-housing-windshield-surround~tp61rxfaa.html
11,6508056AA,SCREW M5x16,,"2008-2010, 2004-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,6508214AA,,available,6.45,3.93,0.7 x 0.3 x 0.3 inches,0.40 Pounds,/parts/mopar-screw~6508056aa.html
12,5029330AA,SEAL Foam,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,4,1,,,,discontinued,,,4.9 x 0.5 x 0.5 inches,0.60 Pounds,/parts/mopar-seal-foam~5029330aa.html
