ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,L003157K,BULB 3157K,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,68604812AA,,,available,15.2,10.6,1.3 x 3.2 x 7.2 inches,0.60 Pounds,/parts/mopar-bulb~l003157k.html
2,L0009145,BULB Fog Lamp 50 Watt,,"2009-2010, 2005-2006, 2003","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,36.5,24.8,1.9 x 2.0 x 4.5 inches,0.50 Pounds,/parts/mopar-bulb~l0009145.html
3,L004157NAK,BULB 4157 NAK,,"2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,68604854AA,,,available,7.55,5.07,2.5 x 2.3 x 1.6 inches,0.40 Pounds,/parts/mopar-bulb~l004157nak.html
4,153624,BULB W3W,,"2013-2017, 2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,9.95,6.93,0.3 x 0.4 x 0.9 inches,1.40 Pounds,/parts/mopar-bulb~153624.html
5,4865941AA,BULB Headlamp,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,4865941AC,,,available,428,283.21,3.2 x 3.8 x 7.1 inches,0.70 Pounds,/parts/mopar-bulb-headlamp~4865941aa.html
6,L09005XSLL,BULB Headlamp,,"2009-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,154846AA,,available,45.15,31.34,4.3 x 1.9 x 1.9 inches,0.50 Pounds,/parts/mopar-bulb-headlamp~l09005xsll.html
7,L0000168,BULB 168,,"2009-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,"MS820080, 9425542",,available,10.5,7.34,0.4 x 1.9 x 3.0 inches,0.40 Pounds,/parts/mopar-bulb~l0000168.html
8,L0000194,BULB 194,,"2009-2010, 2003-2005","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,9421330,,available,9.35,6.52,0.8 x 2.0 x 4.3 inches,0.40 Pounds,/parts/mopar-bulb~l0000194.html
9,L003057K,BULB 3057K,,"2009-2010, 2005-2006, 2003","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,68604811AA,"154843, L004057K",,available,7.2,4.83,1.3 x 3.3 x 7.3 inches,0.60 Pounds,/parts/mopar-bulb~l003057k.html
10,L0003457ST,BULB 3457AK,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,Sylvania Lighting,discontinued,,,,0.50 Pounds,/parts/mopar-bulb~l0003457st.html
