ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5037226AC,FLYWHEEL,,2005,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,15.8 x 16.2 x 2.1 inches,32.00 Pounds,/parts/mopar-flywheel~5037226ac.html
2,2843214,GEAR Flywheel Ring,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,212,140.63,14.9 x 15.1 x 0.4 inches,2.10 Pounds,/parts/mopar-gear-flywheel-ring~2843214.html
3,5037599AD,CRANKSHAFT See Notes,,2005-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,68171436AA,,[.75-16] Thread,available,10555,6951.5,33.5 x 8.7 x 9.1 inches,89.50 Pounds,/parts/mopar-crankshft~5037599ad.html
4,6035811,BOLT Hex Head .437-20x1.50,,1997-2005,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible","10 Cyl 8.0L, 10 Cyl 8.3L",8,1,,,,available,30.05,20.4,1.8 x 0.7 x 0.7 inches,0.50 Pounds,/parts/mopar-bolt-hex-head~6035811.html
5,6035666,SCREW Hex Flange Head .25-20x1.00,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",8,1,154777,,,available,14.2,9.9,1.2 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-bolt~6035666.html
6,5037053AC,RETAINER Crankshaft Rear Oil Seal,,2005-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,5045562AA,,,available,501,338.58,13.0 x 12.4 x 1.0 inches,1.50 Pounds,/parts/mopar-seal-crankshaft-rear-oil-seal~5037053ac.html
7,5037300AA,SEAL Rear Main Crankshaft,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5037300AC,,available,128,54.57,11.6 x 10.4 x 1.5 inches,0.70 Pounds,/parts/mopar-seal-crankshaft-oil~5037300aa.html
8,5037056AB,GASKET Rear Oil Seal Retainer,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,5037056AC,,,available,43.35,30.12,6.1 x 2.1 x 0.5 inches,0.40 Pounds,/parts/mopar-gasket-rear-oil-seal-retainer~5037056ab.html
9,5086003AA,BEARING PACKAGE Connecting Rod Standard,,,,,20,,,,,discontinued,,,,,
10,5135750AA,PISTON PIN AND ROD STD,,,,,5,,,,"Right Side Cylinders 2,4,6,8,10",discontinued,,,,,
