ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5030033AA,LIFTGATE,,,,,,,,,,discontinued,,,,,
2,5030041AB,GLASS Liftgate,,2006,"COMP. Coupe, SRT-10 Coupe",10 Cyl 8.3L,,,5030041AF,,,available,1070,723.2,61.6 x 48.5 x 3.8 inches,40.00 Pounds,/parts/mopar-backlite-liftgate~5030041ab.html
3,5030118AA,HINGE Liftgate,,,,,2,,,,,discontinued,,,,,
4,5030099AA,PROP Liftgate,,,,,2,,,,,discontinued,,,,,
5,5030174AA,BALL STUD Liftgate Mounted,,,,,,,,,,discontinued,,,,,
6,5030098AA,WEATHERSTRIP Liftgate,,,,,,,,,,discontinued,,,,,
7,1BY68VXLAB,COVER Liftgate Trim,,,,,,,,,,discontinued,,,,,
8,5030356AA,LATCH Liftgate,,2006,"COMP. Coupe, SRT-10 Coupe",10 Cyl 8.3L,,,5030356AB,,,available,335,283.13,9.4 x 5.4 x 3.5 inches,1.60 Pounds,/parts/mopar-latch-liftgate~5030356aa.html
9,5030107AB,LAMP High Mounted Stop,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,5030107AA,,discontinued,,,6.7 x 5.2 x 5.2 inches,0.80 Pounds,/parts/mopar-lamp-high-mounted-stop~5030107ab.html
10,4642929AB,LAMP License Plate,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",3,1,,,,discontinued,,,4.6 x 4.7 x 1.6 inches,0.50 Pounds,/parts/mopar-lamp-license-plate~4642929ab.html
11,5029232AA,BUMPER Deck Lid Overslam Rear,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,discontinued,,,,,/parts/mopar-stop-bmpr-deck-lid-overslam~5029232aa.html
12,5008628AA,BUMPER Deck Lid Front,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,11.7,10.15,1.7 x 1.3 x 1.0 inches,0.50 Pounds,/parts/mopar-stop-bmpr~5008628aa.html
,4865778AA,BRACKET Deck Lid Striker Mounting,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,6.6 x 4.0 x 0.9 inches,0.80 Pounds,/parts/mopar-bracket-deck-lid-striker-mounting~4865778aa.html
