ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
3,5166381AC,BLOCK SHORT,,2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,5183854AA,,,discontinued,,,35.0 x 31.2 x 36.6 inches,354.10 Pounds,/parts/mopar-block-short~5166381ac.html
4,J4005149,DOWEL Locator,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,15.7,10.83,1.0 x 1.0 x 0.8 inches,0.40 Pounds,/parts/mopar-pin~j4005149.html
5,5245055,DOWEL Front Cover,,"2008-2010, 2000-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,,14.51,0.6 x 0.6 x 0.4 inches,0.50 Pounds,/parts/mopar-dowel-pin~5245055.html
6,5245058,DOWEL Rear Oil Seal Retainer,,"2013-2017, 2000-2006","COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,,,/parts/mopar-dowel-pin~5245058.html
7,6034804,PLUG Core 1.39 Diameter,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,6034804AB,,,available,6.8,4.6,0.4 x 1.4 x 1.4 inches,0.40 Pounds,/parts/mopar-washer-cup~6034804.html
8,4663941AB,PLUG Core 1.00 Diameter,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,4663941,,available,7.05,4.78,0.6 x 1.2 x 1.2 inches,0.40 Pounds,/parts/mopar-plug-core~4663941ab.html
9,6036543AA,PLUG Pipe [.125-27x.310],,"2013-2017, 2008-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,6036020AA,,available,3.4,2.27,0.3 x 0.4 x 0.4 inches,0.50 Pounds,/parts/mopar-plug-pipe~6036543aa.html
10,6036308AA,PLUG [.375-18x.475],,"2013-2017, 2008-2009, 2003-2006","COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",10,1,,,,available,4.7,3.2,0.5 x 0.4 x 0.8 inches,0.40 Pounds,/parts/mopar-plug-pipe~6036308aa.html
11,4429678,PIN Dowel Clutch Housing To Block,,"2013-2017, 2008-2010, 1997-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,50.95,35.42,0.9 x 0.9 x 0.8 inches,0.40 Pounds,/parts/mopar-dowel-pin~4429678.html
,R8236661AA,ENGINE Long Block,,2003-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,,discontinued,,,,,/parts/mopar-engine-long-block~r8236661aa.html
,5086535AE,"GASKET PACKAGE Engine Lower Includes, Rear Main Seal, Rear Main Seal Retainer Gasket, Front Timing Cover Gasket, Front Crankshaft Seal, Oil Pan Gasket, Oil Cooler Gasket, Water Pump Gasket",,2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,68026796AA,,,available,180,146.64,32.9 x 15.6 x 0.3 inches,1.90 Pounds,/parts/mopar-gskt-pkg-engine-lower~5086535ae.html
