ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,5290890AG,PEDAL ASSEMBLY Adjustable,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,"5290890AE, 5290890AD, 5290890AB, 5290890AF",,available,2000,1552.35,,18.40 Pounds,/parts/mopar-pedal-brake-clutch-and-accelera~5290890ag.html
4,6506557AA,NUT AND WASHER,,"2013-2017, 2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,6.7,4.6,1.4 x 1.4 x 1.0 inches,0.50 Pounds,/parts/mopar-nut-hex-lock~6506557aa.html
5,J4003909,NUT Hex Flange With Serration,,"2008-2010, 2000-2006, 1992-1996","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,discontinued,,,0.8 x 0.8 x 0.4 inches,0.60 Pounds,/parts/mopar-nut-hex-flange-with-serration~j4003909.html
7,5029211AC,BRACKET Wiring Harness,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,6.6 x 3.4 x 0.3 inches,0.60 Pounds,/parts/mopar-bracket-wiring~5029211ac.html
8,4294036,CLIP,,"2008-2010, 1992-2006","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",,,4581512AA,,,available,2.45,1.69,0.8 x 1.3 x 1.3 inches,0.40 Pounds,/parts/mopar-clip-master-cylinder-push-rod-pi~4294036.html
9,6101447,NUT AND WASHER M6x1.00,,"2013-2017, 2008-2010, 2003-2006, 1999-2000","ACR-X Coupe, COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT, SRT ACR, SRT GTC, SRT GTS, SRT-10, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L, 10 Cyl 8.4L",2,1,,,,available,8.55,5.94,0.8 x 0.8 x 0.6 inches,0.40 Pounds,/parts/mopar-nut~6101447.html
10,5029206AB,BRACKET Stop Lamp Switch,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,5.3 x 5.1 x 2.0 inches,1.10 Pounds,/parts/mopar-bracket-stop-lamp-switch~5029206ab.html
11,5083344AA,SWITCH PACKAGE Stop Lamp,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5083344AB,"56045043AE, 56045043AG",,available,39,29.99,1.8 x 2.6 x 3.7 inches,0.50 Pounds,/parts/mopar-sw-pkg-stop-lamp~5083344aa.html
13,5037288AD,CABLE Accelerator,,2004-2006,"COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,"5037288AC, 5037288AB",,discontinued,,,36.9 x 8.1 x 1.8 inches,1.80 Pounds,/parts/mopar-cable-accelerator~5037288ad.html
15,4287736,RETAINER Throttle Cable,,1992-2006,"COMP. Coupe, GTS Coupe, GTS-L Coupe, RT/10 Convertible, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.0L, 10 Cyl 8.3L",,,,,,discontinued,,,,,/parts/mopar-retainer-throttle-cable~4287736.html
16,5102047AA,PAD Accelerator Pedal,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,6.0 x 2.0 x 1.1 inches,0.70 Pounds,/parts/mopar-pad-accelerator-pedal~5102047aa.html
17,5102045AB,PAD Brake Pedal,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,94.8,78.81,3.5 x 2.7 x 1.9 inches,0.60 Pounds,/parts/mopar-pad-brake-pedal~5102045ab.html
18,5102046AB,PAD Clutch Pedal,,"2008-2010, 2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,157,126,3.5 x 2.0 x 1.6 inches,0.60 Pounds,/parts/mopar-pad-clutch-pedal~5102046ab.html
