ref_no,part_number,description,side,year_range,fitting_vehicle_options,engine,require_quantity,package_quantity,replaced_by,replaces,notes,status,msrp,sale_price,item_dimensions,item_weight,detail_url
1,XN881XRAB,BASE Floor Console,,"2006, 2004","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe",10 Cyl 8.3L,,,,,[XR],discontinued,,,,2.60 Pounds,/parts/mopar-base-floor-console~xn881xrab.html
1,XN88DX9AB,BASE Floor Console,,"2008, 2006, 2004","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,[X9],available,1015,859.93,42.0 x 25.2 x 7.1 inches,4.10 Pounds,/parts/mopar-base-floor-console~xn88dx9ab.html
2,XN891XRAC,LID Center Console Storage,,"2009-2010, 2004-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,[XR],available,163,137.25,11.8 x 11.3 x 3.6 inches,2.20 Pounds,/parts/mopar-lid-center-console-storage~xn891xrac.html
2,XN89DX9AC,LID Center Console Storage,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,[X9],available,241,195.75,17.3 x 12.6 x 6.7 inches,2.90 Pounds,/parts/mopar-lid-center-console-storage~xn89dx9ac.html
4,5029529AA,ASH RECEIVER Floor Console,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,5108051AA,,,available,92.2,62.38,3.7 x 3.8 x 2.3 inches,0.60 Pounds,/parts/mopar-ashtray-floor-console~5029529aa.html
5,153634,SCREW,,"2008, 2004-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",4,1,,,,available,3.9,2.68,0.9 x 0.5 x 0.5 inches,0.40 Pounds,/parts/mopar-screw-round-washer-head-tapping~153634.html
6,5093230AA,RING,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,9.1 x 8.2 x 4.0 inches,2.90 Pounds,/parts/mopar-ring~5093230aa.html
7,XP181X9AA,BEZEL Console Shifter,,"2008, 2003-2006","COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,discontinued,,,,,/parts/mopar-bezel-console-shifter~xp181x9aa.html
8,4685370,KNOB AND ELEMENT Cigar Lighter,,"2008-2010, 2005-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,39.35,27.32,1.2 x 1.0 x 2.0 inches,0.50 Pounds,/parts/mopar-lighter-cigar-lighter~4685370.html
9,4793555,RING Cigar Lighter Mounting,,"2008-2010, 2003-2006","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,4.65,3.15,1.0 x 1.6 x 1.6 inches,0.40 Pounds,/parts/mopar-ring-cigar-lighter-mounting~4793555.html
10,4793551,BASE Cigar Lighter,,"2008-2010, 2006, 2003-2004","ACR-X Coupe, COMP. Coupe, SRT-10 Convertible, SRT-10 Coupe","10 Cyl 8.3L, 10 Cyl 8.4L",,,,,,available,37.4,25.98,2.1 x 1.0 x 1.2 inches,0.50 Pounds,/parts/mopar-lighter-cigar-lighter~4793551.html
